ID_REF	VALUE
1007_s_at	9.59524514
1053_at	5.802501224
117_at	8.933713525
121_at	8.512700036
1255_g_at	3.225156348
1294_at	7.145103932
1316_at	5.249922266
1320_at	4.925036332
1405_i_at	4.827618703
1431_at	4.521319229
1438_at	7.190834643
1487_at	7.113946281
1494_f_at	5.393967986
1552256_a_at	7.338146328
1552257_a_at	7.108788037
1552258_at	4.671911738
1552261_at	5.555332129
1552263_at	4.699886274
1552264_a_at	7.217035851
1552266_at	4.034752712
1552269_at	3.502331799
1552271_at	5.810176226
1552272_a_at	5.352665557
1552274_at	6.236382856
1552275_s_at	6.006331409
1552276_a_at	5.604459551
1552277_a_at	6.794178811
1552278_a_at	5.354120976
1552279_a_at	6.119384975
1552280_at	3.759872334
1552281_at	10.28989126
1552283_s_at	6.905257469
1552286_at	5.465729876
1552287_s_at	6.130873678
1552288_at	3.889844106
1552289_a_at	5.407984986
1552291_at	5.586669056
1552293_at	4.714324004
1552295_a_at	6.555191974
1552296_at	3.509660595
1552299_at	3.856718713
1552301_a_at	5.263996133
1552302_at	5.286139269
1552303_a_at	4.875575757
1552304_at	3.794437325
1552306_at	3.215377776
1552307_a_at	6.099031237
1552309_a_at	6.921354967
1552310_at	6.138968032
1552311_a_at	6.865091946
1552312_a_at	4.997486084
1552314_a_at	4.058832768
1552315_at	5.279558381
1552316_a_at	4.418432806
1552318_at	4.899769764
1552319_a_at	3.847497688
1552320_a_at	3.032317264
1552321_a_at	3.449688243
1552322_at	3.097509448
1552323_s_at	4.093684481
1552325_at	2.846973438
1552326_a_at	4.578503648
1552327_at	4.374319765
1552329_at	4.803403002
1552330_at	4.62019794
1552332_at	6.675825188
1552334_at	5.430051334
1552335_at	5.586669056
1552337_s_at	5.002084267
1552338_at	4.116368507
1552340_at	4.279928205
1552343_s_at	5.518652417
1552344_s_at	5.885484526
1552347_at	7.198896093
1552348_at	6.862695767
1552349_a_at	4.943983142
1552354_at	7.641327785
1552355_s_at	6.540277007
1552359_at	3.36338775
1552360_a_at	4.993795999
1552362_a_at	5.82937142
1552364_s_at	3.936843481
1552365_at	3.319892288
1552367_a_at	3.727835148
1552368_at	3.189898555
1552370_at	6.13428745
1552372_at	2.507677642
1552373_s_at	3.059450229
1552375_at	4.363191694
1552377_s_at	7.22725021
1552378_s_at	5.817634657
1552379_at	2.501174863
1552381_at	3.656212705
1552383_at	7.523443824
1552384_a_at	4.830427144
1552386_at	3.36091621
1552388_at	5.719790803
1552389_at	4.935785826
1552390_a_at	7.527069791
1552391_at	4.135364331
1552393_at	2.815311798
1552394_a_at	2.875952301
1552395_at	7.050742813
1552396_at	4.244077883
1552398_a_at	3.983858121
1552399_a_at	4.065857103
1552400_a_at	4.820329634
1552401_a_at	3.3993105
1552402_at	3.919128399
1552405_at	4.813971403
1552408_at	3.038498767
1552409_a_at	5.980769825
1552410_at	5.333021353
1552411_at	6.431958589
1552412_a_at	3.339987321
1552414_at	3.895550889
1552415_a_at	3.98957938
1552417_a_at	4.146094438
1552418_at	5.317837674
1552419_s_at	6.380623813
1552421_a_at	3.686250827
1552422_at	5.267703686
1552423_at	5.655626724
1552424_at	3.190414329
1552425_a_at	3.695269605
1552426_a_at	7.780620546
1552427_at	3.589582767
1552430_at	2.810604001
1552432_at	6.047621585
1552436_a_at	4.524459456
1552438_a_at	3.122042894
1552439_s_at	3.105784321
1552440_at	4.42803556
1552445_a_at	3.500920249
1552448_a_at	4.917543706
1552449_a_at	4.494225304
1552450_a_at	5.870879254
1552452_at	3.24484504
1552453_a_at	3.940769197
1552455_at	3.666544543
1552456_a_at	4.493186735
1552457_a_at	3.346853567
1552458_at	3.390499359
1552459_a_at	5.096757037
1552461_at	3.424413974
1552463_at	3.711679239
1552466_x_at	2.861731209
1552467_at	6.641212508
1552468_a_at	5.822090993
1552470_a_at	4.12584778
1552472_a_at	4.798122226
1552473_at	8.450723957
1552474_a_at	8.917934986
1552476_s_at	6.34673711
1552477_a_at	5.668973572
1552478_a_at	3.851454245
1552480_s_at	2.69813503
1552481_s_at	5.617834335
1552482_at	4.118995951
1552484_at	5.755792764
1552485_at	4.939218522
1552486_s_at	3.939465149
1552487_a_at	2.755445932
1552489_s_at	2.906869408
1552490_at	3.50473156
1552491_at	4.88077571
1552493_s_at	4.421289129
1552494_at	4.491043572
1552496_a_at	5.527389627
1552497_a_at	6.922188318
1552498_at	4.396568882
1552499_a_at	4.125591993
1552501_a_at	5.980672567
1552502_s_at	3.703995932
1552503_at	4.779110328
1552504_a_at	7.269157917
1552506_at	3.516104951
1552507_at	5.518095977
1552508_at	5.666928331
1552509_a_at	3.738392934
1552510_at	7.992508735
1552511_a_at	2.926173985
1552514_at	4.226907213
1552515_at	3.955305764
1552516_a_at	5.641153671
1552518_s_at	3.38391818
1552519_at	5.451653863
1552520_at	3.740873915
1552521_a_at	2.900915829
1552522_at	2.723847404
1552523_a_at	4.191811044
1552524_at	6.323431056
1552526_at	4.221002142
1552528_at	6.553223146
1552531_a_at	3.618721198
1552532_a_at	3.653638691
1552535_at	5.9294747
1552536_at	5.547891412
1552538_a_at	3.770516812
1552540_s_at	5.09435962
1552541_at	6.492481519
1552542_s_at	3.780381236
1552543_a_at	4.044783349
1552544_at	4.868016645
1552546_a_at	3.604797939
1552548_at	4.241167619
1552549_a_at	5.628563773
1552552_s_at	3.143568299
1552553_a_at	4.791847895
1552554_a_at	3.181143062
1552555_at	6.340220961
1552557_a_at	3.135171441
1552558_a_at	7.464197511
1552559_a_at	4.896089422
1552562_at	4.311947631
1552563_a_at	5.369080374
1552564_at	3.545686615
1552566_at	4.06621249
1552568_at	5.271375511
1552569_a_at	4.463116191
1552570_at	3.248953631
1552572_a_at	2.95741063
1552573_s_at	4.568336165
1552575_a_at	6.672658529
1552576_at	4.835072523
1552578_a_at	3.477166018
1552579_a_at	4.506347517
1552580_at	5.906764939
1552582_at	3.889344596
1552583_s_at	4.240938924
1552584_at	4.936500211
1552585_s_at	3.312289818
1552586_at	6.23096977
1552587_at	3.196973848
1552588_a_at	3.269403748
1552590_a_at	3.495687651
1552592_at	2.738634876
1552594_at	6.140891923
1552596_at	6.521068488
1552598_at	4.667971506
1552599_at	3.929131054
1552602_at	5.032412123
1552604_at	3.793951991
1552605_s_at	3.928490524
1552607_at	5.217406761
1552608_at	4.741735107
1552609_s_at	3.635526484
1552610_a_at	8.447916175
1552611_a_at	5.860966348
1552612_at	6.503479854
1552613_s_at	6.348744566
1552615_at	8.175925266
1552616_a_at	5.327129751
1552617_a_at	7.024842756
1552618_at	6.956920587
1552619_a_at	3.248115942
1552620_at	7.068589629
1552621_at	7.803588357
1552622_s_at	7.00254681
1552623_at	5.562536662
1552625_a_at	5.355808277
1552626_a_at	7.112509191
