ID_REF	VALUE
1007_s_at	10.19910243
1053_at	6.46235477
117_at	6.29333168
121_at	7.175775384
1255_g_at	3.025094741
1294_at	7.974775519
1316_at	5.098083612
1320_at	5.02110694
1405_i_at	7.119162554
1431_at	4.255115671
1438_at	6.321238678
1487_at	7.008148387
1494_f_at	5.023092753
1552256_a_at	7.659838164
1552257_a_at	8.297103514
1552258_at	4.596247873
1552261_at	5.885065127
1552263_at	6.363844582
1552264_a_at	6.894846286
1552266_at	3.611922669
1552269_at	3.277603628
1552271_at	4.580688909
1552272_a_at	5.162880914
1552274_at	6.882650511
1552275_s_at	6.254831069
1552276_a_at	5.137577171
1552277_a_at	7.068236725
1552278_a_at	4.830567799
1552279_a_at	6.112943303
1552280_at	3.545119697
1552281_at	6.754010325
1552283_s_at	5.741177373
1552286_at	4.765170939
1552287_s_at	7.274484177
1552288_at	5.814875852
1552289_a_at	6.959710914
1552291_at	5.88984862
1552293_at	3.990280094
1552295_a_at	7.468718923
1552296_at	3.163198578
1552299_at	3.961577221
1552301_a_at	5.180046092
1552302_at	6.085992925
1552303_a_at	5.449794191
1552304_at	3.626842625
1552306_at	3.6563115
1552307_a_at	5.885112043
1552309_a_at	8.973829565
1552310_at	7.049745072
1552311_a_at	6.269760436
1552312_a_at	5.097364072
1552314_a_at	3.384392879
1552315_at	5.834143512
1552316_a_at	6.560136792
1552318_at	6.739990687
1552319_a_at	4.344986544
1552320_a_at	2.740095666
1552321_a_at	3.007331083
1552322_at	3.001037684
1552323_s_at	4.69176774
1552325_at	2.431059767
1552326_a_at	4.542396447
1552327_at	5.54916404
1552329_at	5.489811965
1552330_at	5.458135966
1552332_at	6.244218336
1552334_at	6.51418585
1552335_at	5.388788964
1552337_s_at	4.178415416
1552338_at	4.111846997
1552340_at	3.460011423
1552343_s_at	6.310484228
1552344_s_at	5.30790326
1552347_at	8.92661684
1552348_at	6.615912099
1552349_a_at	4.779112697
1552354_at	4.717571182
1552355_s_at	5.122905643
1552359_at	2.911611122
1552360_a_at	5.388927488
1552362_a_at	5.701297622
1552364_s_at	4.426735422
1552365_at	6.942656083
1552367_a_at	5.203046276
1552368_at	3.274034908
1552370_at	5.720612534
1552372_at	2.550950979
1552373_s_at	2.596857072
1552375_at	4.534737109
1552377_s_at	6.396404138
1552378_s_at	5.012147797
1552379_at	2.460594624
1552381_at	2.802399819
1552383_at	6.153987086
1552384_a_at	4.395513928
1552386_at	5.646705068
1552388_at	4.839152655
1552389_at	3.695013049
1552390_a_at	6.451830501
1552391_at	3.294060433
1552393_at	2.567732262
1552394_a_at	2.867691564
1552395_at	6.067440919
1552396_at	4.020032319
1552398_a_at	4.240400781
1552399_a_at	3.301956316
1552400_a_at	4.034982011
1552401_a_at	3.228098264
1552402_at	3.712824892
1552405_at	3.751139133
1552408_at	2.969056787
1552409_a_at	5.144136216
1552410_at	5.785906672
1552411_at	6.148217611
1552412_a_at	2.993874396
1552414_at	3.366670736
1552415_a_at	3.34467047
1552417_a_at	4.552613154
1552418_at	4.792378629
1552419_s_at	5.959017601
1552421_a_at	2.844104388
1552422_at	5.037833026
1552423_at	5.799278413
1552424_at	2.997075336
1552425_a_at	3.273082126
1552426_a_at	8.695056976
1552427_at	3.61055147
1552430_at	2.715755979
1552432_at	4.861117429
1552436_a_at	3.684056948
1552438_a_at	2.874679093
1552439_s_at	2.829062357
1552440_at	3.812611729
1552445_a_at	3.416311243
1552448_a_at	3.442671091
1552449_a_at	3.506293885
1552450_a_at	4.630673348
1552452_at	3.253125107
1552453_a_at	2.985892013
1552455_at	3.808054791
1552456_a_at	4.096750453
1552457_a_at	3.52206145
1552458_at	2.90082687
1552459_a_at	4.206584632
1552461_at	2.895331746
1552463_at	3.125443879
1552466_x_at	2.609514366
1552467_at	5.912513805
1552468_a_at	4.397228131
1552470_a_at	3.398287742
1552472_a_at	5.251732278
1552473_at	6.876546915
1552474_a_at	6.524810526
1552476_s_at	6.260794743
1552477_a_at	5.951247731
1552478_a_at	3.979460168
1552480_s_at	2.551903073
1552481_s_at	4.278631274
1552482_at	6.130206384
1552484_at	4.919770577
1552485_at	6.997247458
1552486_s_at	5.706216666
1552487_a_at	2.59754364
1552489_s_at	2.761045841
1552490_at	3.635659553
1552491_at	5.038660706
1552493_s_at	4.159466786
1552494_at	4.084675582
1552496_a_at	4.721167052
1552497_a_at	6.777549923
1552498_at	4.041297139
1552499_a_at	3.971716489
1552501_a_at	7.67603995
1552502_s_at	5.114543792
1552503_at	4.136553109
1552504_a_at	5.76656466
1552506_at	3.580304925
1552507_at	5.002537163
1552508_at	5.786045045
1552509_a_at	3.083443513
1552510_at	7.090617756
1552511_a_at	2.725336012
1552514_at	4.345112833
1552515_at	3.707563855
1552516_a_at	5.296245538
1552518_s_at	3.826115167
1552519_at	5.334243245
1552520_at	3.295002053
1552521_a_at	2.77103909
1552522_at	2.372996028
1552523_a_at	4.128057834
1552524_at	5.576031944
1552526_at	3.589762118
1552528_at	5.778126297
1552531_a_at	3.313398148
1552532_a_at	3.235301893
1552535_at	5.136456705
1552536_at	5.732103615
1552538_a_at	2.930465571
1552540_s_at	4.243351019
1552541_at	5.596134068
1552542_s_at	4.214890009
1552543_a_at	3.424656684
1552544_at	4.383690242
1552546_a_at	4.017043245
1552548_at	3.997392604
1552549_a_at	4.930232316
1552552_s_at	3.015250287
1552553_a_at	5.273162504
1552554_a_at	2.976250896
1552555_at	5.495413255
1552557_a_at	3.31597348
1552558_a_at	5.921201748
1552559_a_at	3.72285981
1552562_at	4.399660934
1552563_a_at	4.869222823
1552564_at	3.565792582
1552566_at	3.639496924
1552568_at	4.021571702
1552569_a_at	3.539754209
1552570_at	2.81091203
1552572_a_at	2.871052587
1552573_s_at	3.646969133
1552575_a_at	6.624076823
1552576_at	3.937629522
1552578_a_at	3.012266603
1552579_a_at	3.756288591
1552580_at	4.292037989
1552582_at	3.180317868
1552583_s_at	3.295868734
1552584_at	5.521032241
1552585_s_at	3.054472178
1552586_at	4.802216717
1552587_at	2.683402239
1552588_a_at	3.384392879
1552590_a_at	2.927364403
1552592_at	2.462339613
1552594_at	5.034636492
1552596_at	5.77135265
1552598_at	4.256217739
1552599_at	3.122660041
1552602_at	4.797425685
1552604_at	3.543026365
1552605_s_at	3.323287104
1552607_at	4.994258829
1552608_at	4.313197991
1552609_s_at	3.119514543
1552610_a_at	8.51182257
1552611_a_at	5.73621401
1552612_at	6.254452147
1552613_s_at	5.896212012
1552615_at	7.044159278
1552616_a_at	5.052512494
1552617_a_at	7.920889621
1552618_at	7.051669598
1552619_a_at	4.832934937
1552620_at	6.507415901
1552621_at	8.788635095
1552622_s_at	7.987461096
1552623_at	5.288618679
1552625_a_at	6.063987506
1552626_a_at	6.566860035
1552627_a_at	5.312945293
1552628_a_at	8.822540674
1552629_a_at	3.381184723
1552630_a_at	4.563211626
1552631_a_at	5.44652494
1552632_a_at	4.426552966
1552633_at	4.308408746
1552634_a_at	4.261134624
1552637_at	3.43659435
1552639_at	4.979650916
1552641_s_at	6.074021774
1552643_at	4.95177128
1552644_a_at	4.578719921
1552646_at	5.149435118
1552648_a_at	4.702200674
1552649_a_at	3.776808372
1552651_a_at	4.114660051
1552652_at	6.071463894
1552656_s_at	5.222550646
1552657_a_at	4.932666183
1552658_a_at	6.667570888
1552660_a_at	4.372766036
1552661_at	2.425101769
1552662_a_at	3.925189289
1552663_a_at	6.030889618
1552664_at	6.50489419
1552665_at	4.330707141
1552666_a_at	2.583789592
1552667_a_at	5.729653803
1552669_at	3.868179244
1552670_a_at	5.63744443
1552671_a_at	4.609499465
1552672_a_at	3.977341423
1552673_at	7.283220206
1552674_at	2.803128945
1552675_at	2.554078943
1552676_at	5.005340798
1552677_a_at	5.209925328
1552678_a_at	5.198075344
1552680_a_at	3.303704071
1552682_a_at	3.512890222
1552684_a_at	3.463181022
1552685_a_at	5.008269601
1552686_at	4.184779518
1552687_a_at	3.679931699
1552689_at	6.164094434
1552690_a_at	4.387126976
1552691_at	3.335912947
1552693_at	2.794616554
1552694_at	2.642163458
1552695_a_at	4.35216022
1552696_at	3.419318905
1552698_at	5.319618059
1552701_a_at	8.58620676
1552703_s_at	7.928766756
1552705_at	4.117381247
1552708_a_at	2.876394078
1552711_a_at	6.631382709
1552712_a_at	4.596285834
1552713_a_at	3.864199688
1552714_at	3.230559838
1552715_a_at	3.036039897
1552716_at	5.649714211
1552717_s_at	4.67552084
1552718_at	4.873239687
1552719_at	6.529364042
1552721_a_at	3.757225875
1552722_at	2.600950345
1552724_at	5.304195675
1552725_s_at	3.812423491
1552726_at	3.910217862
1552727_s_at	4.368897092
1552729_at	5.013938599
1552730_at	3.760176836
1552731_at	3.225791008
1552732_at	2.611527495
1552733_at	7.221238811
1552734_at	2.863480182
1552735_at	7.217160165
1552736_a_at	3.532821713
1552737_s_at	4.344986544
1552738_a_at	3.297421573
1552739_s_at	6.068622857
1552740_at	3.18264445
1552742_at	4.312517485
1552743_at	3.283970402
1552745_at	3.091575487
1552747_a_at	2.746564285
1552749_a_at	7.300799923
1552750_at	3.054936337
1552751_a_at	4.756203938
1552752_a_at	3.252509658
1552754_a_at	2.976317859
1552755_at	3.920321038
1552757_s_at	3.134617921
1552758_at	3.437381012
1552760_at	3.333442132
1552761_at	5.509983934
1552763_at	2.461019607
1552765_x_at	2.885411022
1552766_at	2.842074944
1552767_a_at	5.51114871
1552768_at	5.487500123
1552769_at	3.712725375
1552770_s_at	4.949883987
1552771_a_at	3.363284677
1552772_at	3.706621918
1552773_at	3.341760293
1552774_a_at	6.133784101
1552775_at	4.042703439
1552777_a_at	3.384392879
1552779_a_at	3.123045492
1552782_at	3.102025705
1552783_at	2.587387894
1552785_at	3.215742813
1552787_at	3.577648664
1552788_a_at	4.609700325
1552789_at	5.331337521
1552790_a_at	8.057272801
1552791_a_at	2.658349637
1552792_at	2.944397249
1552793_at	5.505538411
1552794_a_at	3.650411199
1552796_a_at	3.660303473
1552797_s_at	8.999693124
1552798_a_at	5.363878599
1552799_at	3.808492823
1552800_at	6.006731614
1552801_at	4.095921088
1552803_a_at	3.310151581
1552804_a_at	5.282308649
1552806_a_at	4.090943939
1552807_a_at	7.194080246
1552808_at	2.914435902
1552809_at	3.03571702
1552811_at	5.610840235
1552812_a_at	5.144358545
1552813_at	3.812855772
1552814_a_at	3.668309804
1552816_at	2.564826275
1552818_a_at	3.079149386
1552819_at	4.180085055
1552822_at	2.809682197
1552825_at	2.746987057
1552826_at	2.560713259
1552827_s_at	3.485798045
1552828_at	3.574216103
1552829_at	5.358266089
1552830_at	3.433327778
1552833_at	4.882783376
1552834_at	5.426291292
1552835_at	3.548771441
1552836_at	5.523071859
1552837_at	2.540718708
1552839_at	3.867136788
1552841_s_at	3.23487068
1552842_at	3.858442573
1552843_at	3.219598718
1552845_at	5.927117781
1552846_s_at	6.548777118
1552848_a_at	3.145701404
1552849_at	3.101188175
1552851_at	2.934739532
1552852_a_at	2.95532219
1552853_at	4.301516809
1552854_a_at	3.863701519
1552856_at	3.475963525
1552857_a_at	3.75841588
1552858_at	2.471651949
1552860_at	3.788394749
1552862_at	5.129354199
1552863_a_at	6.435224374
1552865_a_at	4.809378824
1552867_at	6.629603387
1552868_at	4.95619385
1552870_s_at	2.97047425
1552872_at	5.000345614
1552873_s_at	5.659890329
1552875_a_at	2.764399305
1552876_at	3.27528557
1552877_s_at	3.744147174
1552878_at	2.629645261
1552879_a_at	3.422870739
1552880_at	5.440955646
1552882_a_at	4.20209372
1552884_at	4.46398704
1552885_a_at	6.129680129
1552887_at	4.518758611
1552889_a_at	7.322470259
1552890_a_at	3.876540034
1552892_at	5.004661216
1552893_at	5.204941055
1552895_a_at	3.428755533
1552897_a_at	3.181437067
1552898_a_at	3.184352668
1552899_at	2.647482872
1552900_a_at	2.72075724
1552902_a_at	4.20328545
1552903_at	3.224848692
1552904_at	2.511528204
1552906_at	2.757696731
1552908_at	2.985178184
1552910_at	3.505188958
1552911_at	5.028780511
1552912_a_at	3.35944199
1552913_at	2.505729215
1552914_a_at	5.454157139
1552915_at	3.783402744
1552917_at	4.346333851
1552919_at	2.874524705
1552921_a_at	4.930921859
1552922_at	2.603217622
1552923_a_at	3.977294798
1552924_a_at	5.334018547
1552925_at	3.575060984
1552927_at	2.836463427
1552928_s_at	2.928423258
1552929_at	2.971309793
1552930_at	6.974746843
1552931_a_at	6.474501364
1552932_at	3.508870751
1552933_at	2.695546904
1552935_at	5.238151422
1552937_s_at	4.931184517
1552938_at	3.492220325
1552939_at	2.671926724
1552940_at	3.07875658
1552942_at	4.707122777
1552943_at	2.750361892
1552944_a_at	7.578397197
1552946_at	3.239703964
1552947_x_at	3.891736474
1552948_at	4.552897625
1552950_at	2.611835936
1552952_at	3.280925661
1552953_a_at	4.425601258
1552954_at	3.034519854
1552955_at	3.842214806
1552957_at	2.862441002
1552960_at	4.315477747
1552961_at	3.43659435
1552964_at	4.342635121
1552965_a_at	3.860611058
1552967_at	3.767677267
1552969_a_at	3.194334002
1552970_s_at	2.885411022
1552971_at	2.986978061
1552972_at	2.651360315
1552973_at	4.397161225
1552974_at	2.387027141
1552975_x_at	2.462315499
1552976_at	4.344218367
1552977_a_at	6.998707858
1552978_a_at	5.906424659
1552979_at	2.761705369
1552980_at	3.969704304
1552982_a_at	3.551416729
1552985_at	6.622206087
1552986_at	4.160682791
1552987_a_at	2.449502674
1552988_at	2.701576044
1552990_at	2.906510476
1552991_at	4.59098307
1552993_at	2.615909373
1552995_at	5.567660193
1552997_a_at	4.225004463
1552998_at	3.190584121
1552999_a_at	4.18684245
1553002_at	2.936498386
1553003_at	3.755032199
1553004_at	3.426511318
1553006_at	3.911036367
1553007_a_at	3.355480739
1553009_s_at	3.384392879
1553011_at	5.443180067
1553013_at	3.444829596
1553015_a_at	5.857356496
1553016_at	4.209174933
1553019_at	5.543065344
1553020_at	3.650411199
1553021_s_at	4.3992752
1553022_at	2.612403027
1553023_a_at	3.953046965
1553024_at	2.567578143
1553025_at	3.454421286
1553027_a_at	3.802099312
1553028_at	3.480212768
1553030_a_at	5.555475357
1553031_at	5.043433699
1553032_at	2.903716836
1553033_at	3.318363772
1553034_at	4.296924697
1553036_at	3.140727786
1553037_a_at	3.259602277
1553039_a_at	5.96220136
1553041_at	4.394089634
1553042_a_at	4.914354579
1553043_a_at	7.353957268
1553044_at	4.107338584
1553045_at	2.980363244
1553046_s_at	5.472567421
1553047_at	4.819461608
1553048_a_at	4.394631028
1553051_s_at	4.064659389
1553052_at	2.891504985
1553053_at	3.803594667
1553055_a_at	4.09115233
1553057_at	3.942896594
1553058_at	4.036470057
1553059_at	3.090293827
1553060_at	4.119758314
1553061_at	4.141912033
1553062_at	5.169117718
1553063_at	5.045309635
1553064_at	4.622563945
1553066_at	3.49323417
1553067_a_at	3.18696211
1553069_at	3.343604426
1553070_a_at	3.920544063
1553071_a_at	4.254150774
1553072_at	3.863542791
1553074_at	3.025469589
1553075_a_at	2.553854685
1553076_at	2.704872655
1553077_at	3.025240884
1553078_at	3.717409595
1553079_at	3.420163969
1553080_at	3.041911191
1553081_at	5.859817939
1553082_at	3.844160737
1553083_at	4.683541549
1553084_at	2.966776729
1553086_at	2.858927895
1553087_at	3.924662211
1553088_a_at	5.401504892
1553089_a_at	4.893157902
1553093_a_at	3.106894687
1553094_at	3.99730342
1553096_s_at	6.921520089
1553099_at	5.688119077
1553101_a_at	7.517177091
1553102_a_at	5.961604044
1553103_at	7.586174172
1553105_s_at	6.552858599
1553106_at	4.012487552
1553107_s_at	5.568643376
1553108_at	4.887684684
1553111_a_at	4.197500908
1553112_s_at	5.87732658
1553113_s_at	6.130955751
1553114_a_at	6.763481185
1553115_at	5.263164009
1553117_a_at	7.94340518
1553118_at	6.614506293
1553120_at	2.506963
1553122_s_at	3.445114249
1553123_at	2.986216921
1553125_x_at	4.330293201
1553126_a_at	2.855829974
1553127_a_at	2.926188778
1553129_at	5.423139026
1553130_at	5.623704274
1553131_a_at	5.233278141
1553132_a_at	6.633174558
1553133_at	4.464839563
1553134_s_at	2.800968465
1553136_at	5.758937512
1553137_s_at	3.749283472
1553138_a_at	3.10359891
1553139_s_at	5.147450631
1553140_at	3.386226782
1553141_at	4.571508852
1553142_at	3.293923917
1553145_at	6.799645148
1553146_at	3.129847399
1553147_at	2.937732958
1553148_a_at	5.620006697
1553150_at	3.568051595
1553151_at	3.141709784
1553153_at	6.310942504
1553155_x_at	4.533218751
1553156_at	4.359363368
1553157_at	3.48373064
1553158_at	5.905968076
1553159_at	5.32913729
1553162_x_at	5.176312677
1553163_at	4.755239001
1553165_at	5.710351181
1553166_at	4.39980324
1553167_a_at	3.677416108
1553168_at	4.26455678
1553169_at	4.712703568
1553171_x_at	3.127691907
1553172_at	6.897796098
1553174_at	4.810011619
1553175_s_at	3.858669748
1553176_at	3.145726673
1553177_at	3.916839359
1553178_a_at	5.609010739
1553179_at	3.138610959
1553180_at	2.538786298
1553181_at	4.511503648
1553183_at	2.529916427
1553185_at	8.068476911
1553186_x_at	7.293811834
1553188_s_at	3.300551537
1553190_s_at	4.950403721
1553191_at	2.91258456
1553192_at	3.017142839
1553193_at	3.062757429
