ID_REF	VALUE
1007_s_at	8.093634617
1053_at	6.827462368
117_at	7.545392055
121_at	7.113456139
1255_g_at	2.918099907
1294_at	8.053369077
1316_at	4.978699069
1320_at	4.849120937
1405_i_at	9.672477936
1431_at	3.812254548
1438_at	4.755821516
1487_at	6.561324822
1494_f_at	4.555082473
1552256_a_at	7.65012686
1552257_a_at	7.170297804
1552258_at	4.796300487
1552261_at	4.611276696
1552263_at	7.508052333
1552264_a_at	8.254050061
1552266_at	3.721717676
1552269_at	3.164335647
1552271_at	4.616121495
1552272_a_at	5.101432223
1552274_at	7.914834954
1552275_s_at	7.335620335
1552276_a_at	5.132496805
1552277_a_at	7.14519363
1552278_a_at	5.639553809
1552279_a_at	6.101220185
1552280_at	6.338585454
1552281_at	6.408610188
1552283_s_at	5.243224301
1552286_at	4.824425299
1552287_s_at	7.314412881
1552288_at	3.752398148
1552289_a_at	4.142957136
1552291_at	5.786762134
1552293_at	4.075878745
1552295_a_at	6.96979877
1552296_at	3.040307838
1552299_at	4.110866323
1552301_a_at	4.146459214
1552302_at	6.96748698
1552303_a_at	6.967714708
1552304_at	3.572444207
1552306_at	4.081190888
1552307_a_at	5.222505501
1552309_a_at	7.017473617
1552310_at	6.895139481
1552311_a_at	6.340718686
1552312_a_at	6.782649478
1552314_a_at	3.760254409
1552315_at	8.490347675
1552316_a_at	8.815755048
1552318_at	8.807659336
1552319_a_at	3.305185553
1552320_a_at	2.811858876
1552321_a_at	3.0065078
1552322_at	3.010038017
1552323_s_at	5.105496902
1552325_at	2.509584546
1552326_a_at	4.117533606
1552327_at	4.327831142
1552329_at	6.325144752
1552330_at	5.008128313
1552332_at	6.398160723
1552334_at	6.724247998
1552335_at	4.889580763
1552337_s_at	5.075206089
1552338_at	4.024176028
1552340_at	3.794357135
1552343_s_at	6.479160959
1552344_s_at	6.215343
1552347_at	8.566960948
1552348_at	5.639055526
1552349_a_at	3.956081119
1552354_at	5.128034891
1552355_s_at	5.325613572
1552359_at	3.08818959
1552360_a_at	5.467359007
1552362_a_at	5.671666894
1552364_s_at	4.510979577
1552365_at	3.420684718
1552367_a_at	3.120396092
1552368_at	3.405114739
1552370_at	6.200982162
1552372_at	2.576069014
1552373_s_at	2.675534421
1552375_at	4.824425299
1552377_s_at	6.137133578
1552378_s_at	4.525798181
1552379_at	2.423801494
1552381_at	2.641551983
1552383_at	6.069276562
1552384_a_at	4.618284462
1552386_at	7.10133288
1552388_at	5.624660393
1552389_at	3.157837022
1552390_a_at	4.117533606
1552391_at	3.269338806
1552393_at	2.668391181
1552394_a_at	2.679475125
1552395_at	6.273520098
1552396_at	3.972965835
1552398_a_at	4.649317359
1552399_a_at	3.306179137
1552400_a_at	4.516820128
1552401_a_at	3.180670406
1552402_at	3.779423588
1552405_at	3.813286285
1552408_at	2.9318147
1552409_a_at	5.410568162
1552410_at	6.909935769
1552411_at	5.930318554
1552412_a_at	2.994129705
1552414_at	3.325647022
1552415_a_at	3.103385081
1552417_a_at	5.655160174
1552418_at	4.732481614
1552419_s_at	6.048880173
1552421_a_at	2.90760531
1552422_at	5.279235848
1552423_at	6.092515886
1552424_at	3.18244532
1552425_a_at	2.814596566
1552426_a_at	8.645100233
1552427_at	3.462036642
1552430_at	3.197328934
1552432_at	4.788963594
1552436_a_at	3.911738921
1552438_a_at	2.844268722
1552439_s_at	2.706561535
1552440_at	6.469511847
1552445_a_at	3.355815508
1552448_a_at	3.529559972
1552449_a_at	3.529520468
1552450_a_at	4.494888007
1552452_at	3.233358893
1552453_a_at	3.055887846
1552455_at	3.076287732
1552456_a_at	3.911873223
1552457_a_at	3.143312286
1552458_at	2.843131878
1552459_a_at	3.847512791
