ID_REF	VALUE
1007_s_at	10.46417153
1053_at	6.513380296
117_at	6.755933835
121_at	7.658565019
1255_g_at	2.959235258
1294_at	7.570628309
1316_at	5.024668637
1320_at	4.892480617
1405_i_at	6.656463919
1431_at	4.072072323
1438_at	6.191141586
1487_at	6.989836826
1494_f_at	4.975811835
1552256_a_at	7.38391746
1552257_a_at	8.021146962
1552258_at	5.172384118
1552261_at	6.926570218
1552263_at	5.727536855
1552264_a_at	7.183963959
1552266_at	3.825196362
1552269_at	3.564268569
1552271_at	4.805138133
1552272_a_at	5.247206494
1552274_at	6.948273567
1552275_s_at	6.116834253
1552276_a_at	5.355339651
1552277_a_at	7.334405964
1552278_a_at	5.001314058
1552279_a_at	6.087256497
1552280_at	3.711188002
1552281_at	7.037097618
1552283_s_at	4.937229029
1552286_at	4.608698073
1552287_s_at	7.24819212
1552288_at	4.125313133
1552289_a_at	4.546990778
1552291_at	5.830721682
1552293_at	4.080282626
1552295_a_at	7.418836665
1552296_at	3.374815707
1552299_at	3.63662714
1552301_a_at	4.632737951
1552302_at	5.690236113
1552303_a_at	5.509185795
1552304_at	3.823012258
1552306_at	3.540582593
1552307_a_at	5.710122593
1552309_a_at	7.446757962
1552310_at	5.894880712
1552311_a_at	6.326026613
1552312_a_at	6.2122518
1552314_a_at	4.186939707
1552315_at	5.151224005
1552316_a_at	5.47365149
1552318_at	5.508123977
1552319_a_at	5.220680155
1552320_a_at	2.84458033
1552321_a_at	3.047459659
1552322_at	2.834900692
1552323_s_at	4.382713396
1552325_at	2.488330089
1552326_a_at	4.098613797
1552327_at	4.796871193
1552329_at	6.132953437
1552330_at	4.741405851
1552332_at	6.484734153
1552334_at	6.384309976
1552335_at	5.348807583
1552337_s_at	4.333080261
1552338_at	4.123993465
1552340_at	3.895084099
1552343_s_at	6.239060218
1552344_s_at	5.996173053
1552347_at	7.955134832
1552348_at	5.572046837
1552349_a_at	4.149110759
1552354_at	4.922300442
1552355_s_at	5.320265221
1552359_at	2.825540019
1552360_a_at	5.041703704
1552362_a_at	5.503923505
1552364_s_at	4.68569238
1552365_at	7.186286771
1552367_a_at	5.724682676
1552368_at	3.022802184
1552370_at	6.984832731
1552372_at	2.64002988
1552373_s_at	2.62796264
1552375_at	4.287542396
1552377_s_at	6.062729824
1552378_s_at	5.724943266
1552379_at	2.40680976
1552381_at	3.038809513
1552383_at	6.212040554
1552384_a_at	4.414454874
1552386_at	4.467585201
1552388_at	4.850316498
1552389_at	4.917007313
1552390_a_at	7.338449611
1552391_at	3.199711084
1552393_at	2.638440255
1552394_a_at	2.873132339
1552395_at	6.219618508
1552396_at	4.098613797
1552398_a_at	3.629095684
1552399_a_at	3.344050187
1552400_a_at	3.824628604
1552401_a_at	3.598549923
1552402_at	3.63662714
1552405_at	4.035702377
1552408_at	3.025135257
1552409_a_at	5.429891357
1552410_at	5.244651397
1552411_at	6.406141596
1552412_a_at	3.083140864
1552414_at	3.541487229
1552415_a_at	3.39880577
1552417_a_at	4.893161456
1552418_at	4.858229484
1552419_s_at	6.188219654
1552421_a_at	2.865535045
1552422_at	5.307284764
1552423_at	6.021138944
1552424_at	2.958014634
1552425_a_at	2.867939435
1552426_a_at	8.644643677
1552427_at	2.935584825
1552430_at	3.107462226
1552432_at	4.947078901
1552436_a_at	3.567449907
1552438_a_at	2.925307749
1552439_s_at	2.740533728
1552440_at	3.954484757
1552445_a_at	3.390166836
1552448_a_at	3.629373776
1552449_a_at	3.511973368
1552450_a_at	4.800308834
1552452_at	3.477287795
1552453_a_at	3.28950136
1552455_at	3.595839151
1552456_a_at	3.944755926
1552457_a_at	3.243611721
1552458_at	2.748071474
1552459_a_at	3.943482503
1552461_at	2.78475294
1552463_at	3.631261462
1552466_x_at	2.603320249
1552467_at	6.082425282
1552468_a_at	4.687999434
1552470_a_at	4.588865412
1552472_a_at	6.010155267
1552473_at	7.090940791
1552474_a_at	6.506947772
1552476_s_at	6.511884896
1552477_a_at	7.261324721
1552478_a_at	5.484004823
1552480_s_at	2.822254137
1552481_s_at	4.53437435
1552482_at	6.053487552
1552484_at	5.170911754
1552485_at	7.28043898
1552486_s_at	6.192369127
1552487_a_at	2.759462331
1552489_s_at	2.731335044
1552490_at	3.803190626
1552491_at	5.151224005
1552493_s_at	3.980461004
1552494_at	4.423054587
1552496_a_at	5.276906191
1552497_a_at	6.461650773
1552498_at	3.895084099
1552499_a_at	3.995534022
1552501_a_at	6.307632844
1552502_s_at	5.461505757
1552503_at	4.65956923
1552504_a_at	6.157438634
1552506_at	3.391431385
1552507_at	6.020011314
1552508_at	6.330005951
1552509_a_at	3.322660475
1552510_at	7.384196274
1552511_a_at	3.281442803
1552514_at	3.742366164
1552515_at	3.954424471
1552516_a_at	6.62054593
1552518_s_at	3.695165087
1552519_at	5.244021751
1552520_at	3.207677733
1552521_a_at	2.689577476
1552522_at	2.64557508
1552523_a_at	3.81412655
1552524_at	6.088164908
1552526_at	3.584497716
1552528_at	5.898548663
1552531_a_at	3.580056108
1552532_a_at	3.227255807
1552535_at	5.308004726
1552536_at	6.022803996
1552538_a_at	2.993698762
1552540_s_at	4.635726847
1552541_at	5.957029194
1552542_s_at	4.409162776
1552543_a_at	3.811907918
1552544_at	4.423815293
1552546_a_at	4.132425699
1552548_at	3.930132872
1552549_a_at	4.997720804
1552552_s_at	2.695634253
1552553_a_at	4.799340123
1552554_a_at	3.116916562
1552555_at	5.814444719
1552557_a_at	3.193856223
1552558_a_at	6.237710459
1552559_a_at	4.234615631
1552562_at	4.349097322
1552563_a_at	6.559050141
1552564_at	3.391653759
1552566_at	3.523011837
1552568_at	4.205927312
1552569_a_at	3.488403546
1552570_at	3.200754479
1552572_a_at	2.89774831
1552573_s_at	3.806294695
1552575_a_at	7.290985485
1552576_at	3.990601069
1552578_a_at	3.237038532
1552579_a_at	4.097503411
1552580_at	4.421237068
1552582_at	3.342366125
1552583_s_at	3.37445351
1552584_at	5.813586258
1552585_s_at	2.990599353
1552586_at	5.148974128
1552587_at	2.893326448
1552588_a_at	3.069773439
1552590_a_at	3.043280754
1552592_at	2.54641637
1552594_at	5.301057601
1552596_at	6.127748177
1552598_at	4.510073474
1552599_at	3.294429377
1552602_at	4.715458301
1552604_at	3.539667159
1552605_s_at	3.216781749
1552607_at	4.937455336
1552608_at	4.461887048
1552609_s_at	3.135532494
1552610_a_at	9.167658592
1552611_a_at	7.267615125
1552612_at	6.826004938
1552613_s_at	6.656596755
1552615_at	6.991542044
1552616_a_at	4.463059102
1552617_a_at	7.336698475
1552618_at	7.153899315
1552619_a_at	6.646520575
1552620_at	6.74900039
1552621_at	9.198480332
1552622_s_at	8.508056999
1552623_at	5.476210385
1552625_a_at	6.330872037
1552626_a_at	7.320054098
1552627_a_at	6.316080067
1552628_a_at	8.666716993
1552629_a_at	3.776450565
1552630_a_at	4.404902708
1552631_a_at	4.842673436
1552632_a_at	4.135356809
1552633_at	4.584714777
1552634_a_at	4.403395156
1552637_at	3.719840793
1552639_at	5.714513864
1552641_s_at	5.978449731
1552643_at	4.99177831
1552644_a_at	4.969130874
1552646_at	4.76661533
1552648_a_at	5.765133699
1552649_a_at	4.465229191
1552651_a_at	4.424980387
1552652_at	6.129800985
1552656_s_at	6.193493117
1552657_a_at	4.730446042
1552658_a_at	5.358753966
1552660_a_at	5.509960228
1552661_at	2.445537826
1552662_a_at	4.593962805
1552663_a_at	6.582403592
1552664_at	5.633634559
1552665_at	4.642160914
1552666_a_at	2.731335044
1552667_a_at	4.943098064
1552669_at	4.192886658
1552670_a_at	6.78014534
1552671_a_at	4.813106852
1552672_a_at	4.047273329
1552673_at	6.031002238
1552674_at	2.803071879
1552675_at	2.666678991
1552676_at	5.053511189
1552677_a_at	5.516309801
1552678_a_at	5.503516755
1552680_a_at	3.92691884
1552682_a_at	3.624331053
1552684_a_at	3.919285926
1552685_a_at	4.958037523
1552686_at	3.999694999
1552687_a_at	3.888661379
1552689_at	5.673676918
1552690_a_at	4.789518167
1552691_at	3.267288366
1552693_at	2.771118326
1552694_at	3.401726919
1552695_a_at	5.420340267
1552696_at	3.944603936
1552698_at	5.330458355
1552701_a_at	7.8366453
1552703_s_at	7.837396191
1552705_at	3.070123188
1552708_a_at	2.773767717
1552711_a_at	6.533121401
1552712_a_at	5.175513317
1552713_a_at	4.084816545
1552714_at	3.325827776
1552715_a_at	3.14995799
1552716_at	5.352410227
1552717_s_at	5.344851887
1552718_at	4.605407821
1552719_at	6.015602126
1552721_a_at	3.734031881
1552722_at	2.556674008
1552724_at	5.563505433
1552725_s_at	3.913294193
1552726_at	3.973185194
1552727_s_at	3.455977201
1552729_at	5.092852648
1552730_at	3.63662714
1552731_at	3.07319975
1552732_at	2.643238122
1552733_at	6.251401908
1552734_at	3.658956317
1552735_at	6.918765036
1552736_a_at	3.381228912
1552737_s_at	4.840426591
1552738_a_at	3.311870883
1552739_s_at	5.195424885
1552740_at	3.155546165
1552742_at	4.411004314
1552743_at	3.129034834
1552745_at	3.422396094
1552747_a_at	2.583274128
1552749_a_at	7.473462444
1552750_at	3.090724477
1552751_a_at	4.699901742
1552752_a_at	3.339756462
1552754_a_at	2.731335044
1552755_at	3.831117514
1552757_s_at	3.509428945
1552758_at	3.319435391
1552760_at	3.286287887
1552761_at	5.945862734
1552763_at	2.573719456
1552765_x_at	2.885836647
1552766_at	2.893211515
1552767_a_at	4.911401439
1552768_at	5.770172435
1552769_at	3.486503635
1552770_s_at	4.366659241
1552771_a_at	3.140997961
1552772_at	3.803785368
1552773_at	3.543107502
1552774_a_at	5.966352612
1552775_at	4.189492641
