ID_REF	VALUE
1007_s_at	9.661046764
1053_at	6.574139268
117_at	6.541930831
121_at	7.229770715
1255_g_at	3.236354
1294_at	8.03680773
1316_at	4.899545518
1320_at	4.605185571
1405_i_at	8.749526157
1431_at	4.221423019
1438_at	5.972751736
1487_at	6.838453238
1494_f_at	4.850922896
1552256_a_at	7.184766399
1552257_a_at	7.483548815
1552258_at	4.986121921
1552261_at	5.011108518
1552263_at	6.279685612
1552264_a_at	7.408734715
1552266_at	3.940213023
1552269_at	3.476485704
1552271_at	4.802158291
1552272_a_at	4.800371037
1552274_at	7.109954965
1552275_s_at	6.438341236
1552276_a_at	5.136956386
1552277_a_at	7.43533256
1552278_a_at	4.64670559
1552279_a_at	5.882040347
1552280_at	5.115393429
1552281_at	7.130611408
1552283_s_at	5.335888653
1552286_at	4.935060458
1552287_s_at	7.261712559
1552288_at	5.503188746
1552289_a_at	6.844812303
1552291_at	5.983857963
1552293_at	4.263719016
1552295_a_at	7.16685099
1552296_at	3.343531517
1552299_at	3.631218623
1552301_a_at	4.534553211
1552302_at	6.478464027
1552303_a_at	5.987900704
1552304_at	3.628634644
1552306_at	3.5896866
1552307_a_at	5.394192614
1552309_a_at	8.403755618
1552310_at	6.664495147
1552311_a_at	6.567866036
1552312_a_at	5.920911916
1552314_a_at	3.703528063
1552315_at	6.4205889
1552316_a_at	6.947359807
1552318_at	6.584030165
1552319_a_at	3.435610674
1552320_a_at	2.732690244
1552321_a_at	2.831601237
1552322_at	2.785913604
1552323_s_at	4.515966886
1552325_at	2.64437389
1552326_a_at	4.120594058
1552327_at	4.818792633
1552329_at	6.189012191
1552330_at	4.90281747
1552332_at	6.504974151
1552334_at	6.160571246
1552335_at	5.701781517
1552337_s_at	4.333735799
1552338_at	3.897170756
1552340_at	3.704636731
1552343_s_at	6.938114864
1552344_s_at	5.80215832
1552347_at	8.399182855
1552348_at	5.493035976
1552349_a_at	4.360926799
1552354_at	4.857629971
1552355_s_at	5.169563885
1552359_at	2.868688864
1552360_a_at	4.979933586
1552362_a_at	5.364501298
1552364_s_at	4.335185219
1552365_at	4.622427188
1552367_a_at	3.719348487
1552368_at	3.11021929
1552370_at	6.263297817
1552372_at	2.715306669
1552373_s_at	2.597797554
1552375_at	4.390195185
1552377_s_at	6.342094955
1552378_s_at	5.82847341
1552379_at	2.401521029
1552381_at	3.079332961
1552383_at	6.57829276
1552384_a_at	4.697426091
1552386_at	6.627442986
1552388_at	5.172260176
1552389_at	4.097881883
1552390_a_at	6.325595176
1552391_at	3.421474778
1552393_at	2.674434202
1552394_a_at	3.031571655
1552395_at	6.247017939
1552396_at	4.065273935
1552398_a_at	5.528817138
1552399_a_at	3.51632806
1552400_a_at	3.897170756
1552401_a_at	3.48133764
1552402_at	3.647416646
1552405_at	4.080484814
1552408_at	2.879826444
1552409_a_at	5.375178334
1552410_at	5.113166329
1552411_at	6.136261626
1552412_a_at	3.245168663
1552414_at	3.69888555
1552415_a_at	3.372091569
1552417_a_at	4.925644179
1552418_at	4.746000024
1552419_s_at	5.809208473
1552421_a_at	2.825813585
1552422_at	4.844292774
1552423_at	6.027206662
1552424_at	2.987658103
1552425_a_at	3.151483312
1552426_a_at	8.509679955
1552427_at	3.074880667
