ID_REF	VALUE
1007_s_at	10.15299431
1053_at	6.359859814
117_at	6.265019137
121_at	7.289797238
1255_g_at	2.876182222
1294_at	7.631353698
1316_at	5.205938941
1320_at	4.953828654
1405_i_at	7.148778867
1431_at	4.108859665
1438_at	6.544959567
1487_at	6.958077978
1494_f_at	4.697427677
1552256_a_at	7.922330669
1552257_a_at	8.594204986
1552258_at	5.137115416
1552261_at	5.274085164
1552263_at	6.515987303
1552264_a_at	7.5675731
1552266_at	3.647929589
1552269_at	3.293812723
1552271_at	4.751491707
1552272_a_at	5.331558081
1552274_at	7.098740928
1552275_s_at	6.570543354
1552276_a_at	4.78258694
1552277_a_at	6.918983295
1552278_a_at	5.175877223
1552279_a_at	5.951445057
1552280_at	3.372318256
1552281_at	7.067387026
1552283_s_at	6.5928218
1552286_at	4.661597967
1552287_s_at	7.15378593
1552288_at	4.49205981
1552289_a_at	5.599154487
1552291_at	6.091042493
1552293_at	4.573648371
1552295_a_at	7.235543207
1552296_at	3.324985357
1552299_at	4.013406305
1552301_a_at	4.45652102
1552302_at	5.523016403
1552303_a_at	5.33648419
1552304_at	3.914447053
1552306_at	4.280034019
1552307_a_at	5.030122634
1552309_a_at	7.756814171
1552310_at	6.64214705
1552311_a_at	6.150783678
1552312_a_at	5.601021814
1552314_a_at	3.812211568
1552315_at	5.212880768
1552316_a_at	5.832590812
1552318_at	5.612660898
1552319_a_at	3.508154105
1552320_a_at	2.658097864
1552321_a_at	2.919737406
1552322_at	2.812794296
1552323_s_at	3.782620499
1552325_at	2.500862226
1552326_a_at	4.361935478
1552327_at	5.470520446
1552329_at	6.34407978
1552330_at	4.788083582
1552332_at	6.038732838
1552334_at	6.583134396
1552335_at	4.928588086
1552337_s_at	4.272859391
1552338_at	3.975908797
1552340_at	3.592572514
1552343_s_at	6.093939467
1552344_s_at	5.831861048
1552347_at	8.512599831
1552348_at	6.36436389
1552349_a_at	4.7428253
1552354_at	4.759710015
1552355_s_at	5.158276345
1552359_at	2.794949955
1552360_a_at	5.143286088
1552362_a_at	5.439466144
1552364_s_at	4.543165639
1552365_at	6.987776308
1552367_a_at	4.518101731
1552368_at	3.248672493
1552370_at	6.242848347
1552372_at	2.441779694
1552373_s_at	2.603788329
1552375_at	4.764988109
1552377_s_at	6.100755029
1552378_s_at	5.78984183
1552379_at	2.494059453
1552381_at	3.012337102
1552383_at	6.371510054
1552384_a_at	4.58941374
1552386_at	4.593116811
1552388_at	4.779937927
1552389_at	3.930453273
1552390_a_at	5.746455937
1552391_at	3.247467445
1552393_at	2.843742063
1552394_a_at	2.79670603
1552395_at	6.028542196
1552396_at	3.871002394
1552398_a_at	3.998203386
1552399_a_at	3.329586474
1552400_a_at	3.740798118
1552401_a_at	3.003716535
1552402_at	3.796590439
1552405_at	3.588494755
1552408_at	2.97795985
1552409_a_at	5.21180984
1552410_at	4.731048083
1552411_at	5.81496197
1552412_a_at	3.172748524
1552414_at	3.457344808
1552415_a_at	3.335467138
1552417_a_at	4.879490249
1552418_at	4.726223163
1552419_s_at	5.859858228
1552421_a_at	2.883848112
1552422_at	4.993412006
1552423_at	7.563073827
1552424_at	3.033509807
1552425_a_at	3.0514737
1552426_a_at	8.510272138
1552427_at	3.770082965
1552430_at	3.108625288
1552432_at	4.628908264
1552436_a_at	3.606035112
1552438_a_at	2.82640723
1552439_s_at	2.469970045
1552440_at	3.763727779
1552445_a_at	3.289491191
1552448_a_at	3.434416558
1552449_a_at	3.444802214
1552450_a_at	4.593116811
1552452_at	3.210521185
1552453_a_at	2.996772529
1552455_at	4.483652733
1552456_a_at	3.974675348
1552457_a_at	3.315819865
1552458_at	2.817089471
1552459_a_at	3.95582511
1552461_at	2.799777162
1552463_at	3.327275488
1552466_x_at	2.529233095
1552467_at	5.598203397
1552468_a_at	4.047252714
1552470_a_at	3.934075504
1552472_a_at	5.967276404
1552473_at	6.56331758
1552474_a_at	6.792033318
1552476_s_at	6.424699478
1552477_a_at	6.91183699
1552478_a_at	5.252282903
1552480_s_at	3.256750638
1552481_s_at	4.380154866
1552482_at	6.046174348
1552484_at	4.570638709
1552485_at	6.662117562
1552486_s_at	5.341396862
1552487_a_at	2.617091769
1552489_s_at	2.675450798
1552490_at	3.546891131
1552491_at	4.874523545
1552493_s_at	4.176909927
1552494_at	4.04568267
1552496_a_at	4.278571401
1552497_a_at	6.628987422
1552498_at	3.662003959
1552499_a_at	3.712656518
1552501_a_at	6.845522416
1552502_s_at	5.246671843
1552503_at	3.9290367
1552504_a_at	6.371625053
1552506_at	2.949415645
1552507_at	6.704068476
1552508_at	6.289797391
1552509_a_at	3.123109456
1552510_at	6.885420547
1552511_a_at	2.567861036
1552514_at	4.514849667
1552515_at	3.863443218
1552516_a_at	6.131253273
1552518_s_at	3.971052947
1552519_at	5.965387367
1552520_at	3.317358114
1552521_a_at	2.50683185
1552522_at	2.510656727
1552523_a_at	3.673736343
1552524_at	5.700561688
1552526_at	3.236134901
1552528_at	5.551371458
1552531_a_at	3.223963015
1552532_a_at	3.067992653
1552535_at	5.02237719
1552536_at	6.291892409
1552538_a_at	2.909454436
1552540_s_at	4.309366536
1552541_at	5.435060994
1552542_s_at	4.580285797
1552543_a_at	3.645647251
1552544_at	3.961244735
1552546_a_at	5.680447794
1552548_at	3.837920961
1552549_a_at	4.931777679
1552552_s_at	2.839295069
1552553_a_at	4.491751075
1552554_a_at	2.990507961
1552555_at	4.975028726
1552557_a_at	3.208157491
1552558_a_at	6.162725507
1552559_a_at	4.310717613
1552562_at	4.278571401
1552563_a_at	6.156391792
1552564_at	3.606537524
1552566_at	3.879739265
1552568_at	3.838523803
1552569_a_at	3.619357092
1552570_at	2.909305313
1552572_a_at	3.0681536
1552573_s_at	4.001321594
1552575_a_at	8.040660483
1552576_at	3.808178467
1552578_a_at	3.095360467
1552579_a_at	3.497686105
1552580_at	4.405913913
1552582_at	3.091039862
1552583_s_at	3.221655756
1552584_at	5.152308456
1552585_s_at	2.873139106
1552586_at	4.828509046
1552587_at	2.890512018
1552588_a_at	3.013681606
1552590_a_at	3.128974448
1552592_at	2.401085188
1552594_at	4.955741431
1552596_at	5.708739766
1552598_at	4.273497123
1552599_at	2.977618932
1552602_at	4.67585018
1552604_at	3.60726975
1552605_s_at	3.213480834
1552607_at	4.590634138
1552608_at	4.205229472
1552609_s_at	2.821096458
1552610_a_at	8.646401905
1552611_a_at	7.583131308
1552612_at	6.354811671
1552613_s_at	6.579866976
1552615_at	7.042341191
1552616_a_at	4.823111114
1552617_a_at	7.946244564
1552618_at	7.064880126
1552619_a_at	5.726987664
1552620_at	6.104932602
1552621_at	8.580859338
1552622_s_at	7.845326919
1552623_at	5.360513073
1552625_a_at	6.970482414
1552626_a_at	6.829188436
1552627_a_at	5.860114455
1552628_a_at	8.586114702
1552629_a_at	3.704042083
1552630_a_at	4.372191057
1552631_a_at	4.986355464
1552632_a_at	4.727075673
1552633_at	4.271519105
1552634_a_at	4.166595555
1552637_at	3.375885248
1552639_at	4.740322368
1552641_s_at	5.955207942
1552643_at	4.991490115
1552644_a_at	4.79177607
1552646_at	5.273071678
1552648_a_at	5.898947488
1552649_a_at	4.466378061
1552651_a_at	4.550141389
1552652_at	6.172004088
1552656_s_at	5.835859189
1552657_a_at	4.465336424
1552658_a_at	5.734547905
1552660_a_at	5.654478525
1552661_at	2.382864114
1552662_a_at	4.105099572
1552663_a_at	6.321245684
1552664_at	5.802647395
1552665_at	4.761172576
1552666_a_at	2.815480385
1552667_a_at	5.237079766
1552669_at	3.884880378
1552670_a_at	6.27619125
1552671_a_at	4.754411424
1552672_a_at	3.876925555
1552673_at	7.7281547
1552674_at	2.721495957
1552675_at	2.536779722
1552676_at	5.179507626
1552677_a_at	5.661972312
1552678_a_at	5.237079766
1552680_a_at	3.92055778
1552682_a_at	3.199119799
1552684_a_at	3.620398164
1552685_a_at	4.372372894
1552686_at	4.083715611
1552687_a_at	3.689620222
1552689_at	5.320912321
1552690_a_at	4.585321772
1552691_at	2.936233635
1552693_at	2.863413481
1552694_at	3.28792467
1552695_a_at	5.256587471
1552696_at	4.542863147
1552698_at	5.192102233
1552701_a_at	7.724772156
1552703_s_at	7.333944816
1552705_at	3.318758715
1552708_a_at	2.985106894
1552711_a_at	6.617468288
1552712_a_at	4.92700657
1552713_a_at	3.955207486
1552714_at	3.550625447
1552715_a_at	2.972296671
1552716_at	6.256063901
1552717_s_at	4.858088853
1552718_at	4.315721931
1552719_at	5.640269422
1552721_a_at	3.966011244
1552722_at	2.423290325
1552724_at	5.051866282
1552725_s_at	3.830525935
1552726_at	4.066580761
1552727_s_at	3.902533003
1552729_at	4.953424239
1552730_at	3.759998767
1552731_at	2.91557135
1552732_at	2.740578979
1552733_at	6.828536257
1552734_at	3.484873954
1552735_at	5.990827144
1552736_a_at	3.520364173
1552737_s_at	4.423965132
1552738_a_at	3.29889081
1552739_s_at	5.952214557
1552740_at	3.120199857
1552742_at	5.176281788
1552743_at	2.874868136
1552745_at	2.914468011
1552747_a_at	2.512262539
1552749_a_at	7.19952325
1552750_at	2.931570068
1552751_a_at	4.917749747
1552752_a_at	3.211830103
1552754_a_at	2.91686072
1552755_at	3.668146653
1552757_s_at	3.277152383
1552758_at	3.062911179
1552760_at	3.231589747
1552761_at	5.655626254
1552763_at	2.834457756
1552765_x_at	2.886565172
1552766_at	2.62622196
1552767_a_at	4.168052815
1552768_at	5.250749628
1552769_at	3.34452113
1552770_s_at	4.778579376
1552771_a_at	3.260288266
1552772_at	3.668146653
1552773_at	3.170812235
1552774_a_at	6.086963274
1552775_at	3.723199221
1552777_a_at	3.293507911
1552779_a_at	3.413335473
1552782_at	3.449312058
1552783_at	2.704502138
1552785_at	3.411553547
1552787_at	3.587034254
1552788_a_at	4.430838812
1552789_at	5.40370446
1552790_a_at	7.810921372
1552791_a_at	2.544943193
1552792_at	3.690563366
1552793_at	4.269570304
1552794_a_at	2.94855515
1552796_a_at	3.720022564
1552797_s_at	7.001521618
1552798_a_at	5.640279457
1552799_at	4.051123774
1552800_at	6.046560504
1552801_at	4.166595555
1552803_a_at	3.168537932
1552804_a_at	4.864303476
1552806_a_at	4.050694881
1552807_a_at	6.624961667
1552808_at	2.624387252
1552809_at	2.78053462
1552811_at	5.122768203
1552812_a_at	5.468025182
1552813_at	4.041184272
1552814_a_at	3.861346615
1552816_at	2.443831237
1552818_a_at	3.284665882
1552819_at	3.841883627
1552822_at	3.091039862
1552825_at	2.835617913
1552826_at	2.512888272
1552827_s_at	3.190716069
1552828_at	3.260408742
1552829_at	5.148341317
1552830_at	3.207774699
1552833_at	4.418759883
1552834_at	5.115882296
1552835_at	3.538053316
1552836_at	5.314856724
1552837_at	2.477820061
1552839_at	3.530503839
1552841_s_at	3.359270804
1552842_at	3.543308336
1552843_at	3.013004884
1552845_at	5.342024837
1552846_s_at	6.211945898
1552848_a_at	3.237810143
1552849_at	3.162384504
1552851_at	3.096088905
1552852_a_at	2.89508193
1552853_at	4.097141509
1552854_a_at	3.975352152
1552856_at	3.296591565
1552857_a_at	3.599648698
1552858_at	2.401840236
1552860_at	4.002190232
1552862_at	5.49741578
1552863_a_at	6.199400087
1552865_a_at	4.52778577
1552867_at	5.55287292
1552868_at	5.049900015
1552870_s_at	3.469613766
1552872_at	5.126270301
1552873_s_at	5.229088274
1552875_a_at	2.870001165
1552876_at	3.236991789
1552877_s_at	3.812092601
1552878_at	2.687673521
1552879_a_at	3.25816712
1552880_at	6.418818959
1552882_a_at	3.939401193
1552884_at	4.371462159
1552885_a_at	5.914275637
1552887_at	4.526775308
1552889_a_at	6.982123609
1552890_a_at	3.886251117
1552892_at	5.123900296
1552893_at	5.004801476
1552895_a_at	3.116318093
1552897_a_at	3.220905579
1552898_a_at	3.194741366
1552899_at	2.577333269
1552900_a_at	2.727955614
1552902_a_at	4.288401991
1552903_at	3.325203966
1552904_at	2.597125309
1552906_at	2.741719087
1552908_at	3.156203372
1552910_at	3.194118625
1552911_at	4.994524313
1552912_a_at	3.094401023
1552913_at	2.44549938
1552914_a_at	5.60924426
1552915_at	3.489060966
1552917_at	4.099287136
1552919_at	2.960165108
1552921_a_at	5.654478525
1552922_at	2.759851865
1552923_a_at	3.842608891
1552924_a_at	5.020799161
1552925_at	3.574954122
1552927_at	3.300426094
1552928_s_at	3.731678959
1552929_at	2.847692822
1552930_at	6.664603376
1552931_a_at	6.456863859
1552932_at	3.956136185
1552933_at	2.656661534
1552935_at	5.517732725
1552937_s_at	5.020822827
1552938_at	3.108240206
1552939_at	2.681105386
1552940_at	2.871068962
1552942_at	4.165607714
1552943_at	2.78053462
1552944_a_at	7.351532361
1552946_at	3.128328128
1552947_x_at	3.499824509
1552948_at	4.409869772
1552950_at	2.941540247
1552952_at	3.066319867
1552953_a_at	4.401236764
1552954_at	2.869144104
1552955_at	3.821877719
1552957_at	3.269006097
1552960_at	4.205229472
1552961_at	3.729073166
1552964_at	3.900409948
1552965_a_at	4.105904256
1552967_at	3.413531545
1552969_a_at	3.373379705
1552970_s_at	3.469613766
1552971_at	2.712627864
1552972_at	2.35724361
1552973_at	4.070829348
1552974_at	2.334612627
1552975_x_at	2.531498384
1552976_at	4.388504766
1552977_a_at	7.014490957
1552978_a_at	7.679272863
1552979_at	2.846635111
1552980_at	3.824136375
1552982_a_at	3.405009631
1552985_at	7.363409356
1552986_at	3.805253537
1552987_a_at	2.577788293
1552988_at	2.527404691
1552990_at	2.829765108
1552991_at	4.257124248
1552993_at	2.847692822
1552995_at	5.337701787
1552997_a_at	4.337189812
1552998_at	3.102423892
1552999_a_at	3.681077012
1553002_at	2.968055894
1553003_at	3.109857926
1553004_at	3.870236687
1553006_at	3.498771795
1553007_a_at	3.302447944
1553009_s_at	3.30432591
1553011_at	5.595399439
1553013_at	3.508154105
1553015_a_at	5.632073168
1553016_at	4.336668053
1553019_at	5.418115247
1553020_at	3.435128669
1553021_s_at	4.278571401
1553022_at	2.815480385
1553023_a_at	3.916759567
1553024_at	2.745600001
1553025_at	3.52400777
1553027_a_at	3.837965872
1553028_at	3.623748136
1553030_a_at	5.413307744
1553031_at	4.166884015
1553032_at	3.020921021
1553033_at	3.48417179
1553034_at	4.751082328
1553036_at	2.862236523
1553037_a_at	3.392438288
1553039_a_at	6.001336347
1553041_at	4.731640547
1553042_a_at	4.843687357
1553043_a_at	6.672902288
1553044_at	3.906540546
1553045_at	3.111418873
1553046_s_at	5.419779465
1553047_at	4.767902616
1553048_a_at	4.692623907
1553051_s_at	3.908999633
1553052_at	2.78053462
1553053_at	4.129618262
1553055_a_at	5.220092012
1553057_at	3.982650521
1553058_at	3.877702874
1553059_at	3.044200023
1553060_at	4.109006682
1553061_at	4.438656274
1553062_at	4.507639233
1553063_at	4.721052002
1553064_at	4.48958593
1553066_at	3.227714206
1553067_a_at	3.188799658
1553069_at	3.312798292
1553070_a_at	3.928520186
1553071_a_at	4.35312148
1553072_at	3.897747515
1553074_at	3.14474033
1553075_a_at	2.576108089
1553076_at	2.64689868
1553077_at	2.956844089
1553078_at	3.569295246
1553079_at	3.221168148
1553080_at	2.974331642
1553081_at	5.529605124
1553082_at	4.273450805
1553083_at	4.423832157
1553084_at	3.141986194
1553086_at	2.883848112
1553087_at	3.751042449
1553088_a_at	5.193082212
1553089_a_at	4.385039012
1553093_a_at	2.966214768
1553094_at	4.187246735
1553096_s_at	6.859950098
1553099_at	5.803521264
1553101_a_at	7.589806325
1553102_a_at	4.918327585
1553103_at	7.9035507
1553105_s_at	7.527183396
1553106_at	4.756957145
1553107_s_at	6.949523847
1553108_at	5.808423807
1553111_a_at	3.204214755
1553112_s_at	6.320784222
1553113_s_at	6.09918161
1553114_a_at	6.898826055
1553115_at	5.331558081
1553117_a_at	7.751861467
1553118_at	7.092849193
1553120_at	2.539133804
1553122_s_at	3.778958606
1553123_at	3.349416895
1553125_x_at	4.511358668
1553126_a_at	2.847692822
1553127_a_at	2.961134267
1553129_at	4.275018486
1553130_at	5.685928214
1553131_a_at	4.995346071
1553132_a_at	6.973398647
1553133_at	5.572596451
1553134_s_at	2.935849754
1553136_at	5.488458271
1553137_s_at	4.048089562
1553138_a_at	3.015436279
1553139_s_at	4.702871298
1553140_at	3.62953804
1553141_at	5.094999963
1553142_at	3.670591553
1553145_at	6.825911614
1553146_at	2.808284926
1553147_at	2.78053462
