V1 V2 V3 V4 V5 V6 V7 V8 V9 V10
sam 1 1 0.833333333333333 1 1 0.875 1 1 1 1
geode 1 1 0.888888888888889 1 1 1 1 1 0.916666666666667 1
ref 1 1 0.944444444444444 1 1 0.875 1 1 1 1
chs 1 1 0.944444444444444 1 1 0.875 1 1 1 1
form_sam-geode 1 1 0.888888888888889 1 0.875 0.875 1 1 1 1
form_ref-chs 1 1 0.944444444444444 1 1 1 1 1 1 1
form_sam-geode-ref-chs 1 1 0.944444444444444 1 1 0.875 1 1 1 1
consensus_sam-geode 1 1 0.833333333333333 1 1 0.875 1 1 1 1
consensus_ref-chs 1 1 0.888888888888889 0.875 1 0.875 1 1 1 1
consensus_sam-geode-ref-chs 1 1 0.944444444444444 1 1 0.875 1 1 1 1
