4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50
sam	0.816666666666667	0.858333333333333	0.875	0.875	0.883333333333333	0.95	0.941666666666667	0.95	0.95	0.966666666666667	0.975	0.975	0.983333333333333	0.975	0.966666666666667	0.966666666666667	0.975	0.979166666666667	0.983333333333333	0.991666666666667	0.991666666666667	0.991666666666667	0.975	0.983333333333333
geode	0.966666666666667	0.925	0.925	0.958333333333333	0.941666666666667	0.958333333333333	0.966666666666667	0.966666666666667	0.966666666666667	0.975	0.983333333333333	0.958333333333333	0.966666666666667	0.958333333333333	0.958333333333333	0.983333333333333	0.975	0.958333333333333	0.958333333333333	0.95	0.95	0.958333333333333	0.975	0.966666666666667
ref	0.85	0.933333333333333	0.908333333333333	0.891666666666667	0.95	0.966666666666667	0.975	0.983333333333333	0.958333333333333	0.966666666666667	0.95	0.941666666666667	0.941666666666667	0.933333333333333	0.933333333333333	0.933333333333333	0.933333333333333	0.933333333333333	0.941666666666667	0.95	0.966666666666667	0.95	0.958333333333333	0.958333333333333
chs	0.808333333333333	0.808333333333333	0.95	0.925	0.858333333333333	0.883333333333333	0.916666666666667	0.866666666666667	0.925	0.925	0.908333333333333	0.925	0.908333333333333	0.908333333333333	0.916666666666667	0.916666666666667	0.916666666666667	0.95	0.916666666666667	0.933333333333333	0.933333333333333	0.925	0.933333333333333	0.916666666666667
form_sam-geode	0.728571428571428	0.714285714285714	0.757142857142857	0.785714285714285	0.771428571428571	0.742857142857143	0.771428571428571	0.771428571428571	0.771428571428571	0.8	0.814285714285714	0.785714285714285	0.828571428571428	0.814285714285714	0.828571428571428	0.842857142857143	0.814285714285714	0.828571428571428	0.814285714285714	0.842857142857143	0.871428571428571	0.842857142857143	0.828571428571428	0.828571428571428
form_ref-chs	0.9375	0.95	0.9375	0.9375	0.9	0.9375	0.9375	0.95	0.9375	0.975	0.975	0.9625	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.9625	0.9625	0.9625	0.95	0.975
form_sam-geode-ref-chs	0.891666666666667	0.975	0.975	1	0.991666666666667	1	1	0.975	0.975	0.95	0.95	0.975	0.966666666666667	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95	0.95
consensus_sam-geode	0.88	0.93	0.9	0.94	0.95	0.97	0.97	0.97	0.98	0.98	0.98	0.98	0.97	0.97	0.97	0.98	0.98	0.97	0.98	0.98	0.98	0.98	0.98	0.99
consensus_ref_chs	0.975	1	0.983333333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.991666666666667	0.991666666666667	1	1	1	1
consensus_sam-geode-ref-chs	0.9	0.916666666666667	0.958333333333333	0.983333333333333	0.95	0.966666666666667	0.975	0.958333333333333	0.975	0.966666666666667	0.975	0.95	0.975	0.966666666666667	0.975	0.958333333333333	0.966666666666667	0.966666666666667	0.975	0.958333333333333	0.941666666666667	0.966666666666667	0.958333333333333	0.975
