Reporter Identifier	VALUE
DAP1_0003	11.34
DAP1_0010	12.58
DAP1_0021	9.86
DAP1_0023	9.29
DAP1_0027	10.38
DAP1_0028	8.49
DAP1_0030	12.03
DAP1_0031	13.18
DAP1_0033	9.03
DAP1_0036	9.61
DAP1_0038	10.37
DAP1_0040	13.29
DAP1_0041	9.42
DAP1_0042	9.1
DAP1_0050	12.85
DAP1_0051	8.86
DAP1_0054	11.73
DAP1_0056	10.57
DAP1_0061	9.43
DAP1_0062	9.6
DAP1_0063	11.61
DAP1_0066	11.67
DAP1_0067	11.89
DAP1_0069	9.61
DAP1_0070	12.09
DAP1_0074	11.64
DAP1_0075	10.18
DAP1_0080	8.77
DAP1_0087	8.29
DAP1_0096	8.46
DAP1_0101	8.63
DAP1_0102	11.89
DAP1_0103	12.95
DAP1_0105	8.59
DAP1_0109	10.26
DAP1_0110	9.61
DAP1_0111	10.29
DAP1_0113	12.55
DAP1_0119	8.28
DAP1_0121	8.92
DAP1_0122	10.35
DAP1_0124	13.36
DAP1_0125	9.42
DAP1_0130	9.01
DAP1_0140	11.65
DAP1_0147	11.21
DAP1_0152	13.12
DAP1_0153	8.05
DAP1_0154	13.42
DAP1_0162	11.14
DAP1_0171	12.81
DAP1_0172	12.18
DAP1_0174	13.98
DAP1_0178	8.3
DAP1_0182	12.62
DAP1_0185	11.44
DAP1_0186	10.37
DAP1_0205	13.09
DAP1_0206	11.06
DAP1_0208	11.21
DAP1_0209	11.2
DAP1_0210	9.21
DAP1_0213	8.74
DAP1_0215	8.47
DAP1_0220	13.34
DAP1_0223	12.05
DAP1_0230	8.37
DAP1_0233	13.14
DAP1_0234	12.07
DAP1_0240	10.66
DAP1_0247	11.8
DAP1_0256	13.07
DAP1_0261	11.7
DAP1_0263	9.66
DAP1_0265	11.35
DAP1_0269	9.04
DAP1_0270	11.66
DAP1_0273	12.28
DAP1_0285	12.81
DAP1_0296	9.16
DAP1_0300	11.77
DAP1_0312	13.36
DAP1_0315	10.98
DAP1_0331	12.5
DAP1_0341	10.58
DAP1_0361	12.91
DAP1_0368	12.33
DAP1_0377	12.71
DAP1_0398	13.15
DAP1_0401	12.67
DAP1_0403	10.17
DAP1_0427	12.33
DAP1_0430	10.71
DAP1_0433	8.06
DAP1_0437	11.5
DAP1_0442	12.02
DAP1_0453	12.81
DAP1_0460	8.31
DAP1_0480	11.4
DAP1_0482	9.62
DAP1_0509	12.88
DAP1_0515	9.94
DAP1_0542	7.93
DAP1_0559	9.16
DAP1_0581	10.86
DAP1_0585	9.51
