Reporter Identifier	VALUE
DAP1_0003	12.26
DAP1_0010	11.69
DAP1_0021	9.89
DAP1_0023	9.49
DAP1_0027	11.24
DAP1_0028	8.53
DAP1_0030	11.08
DAP1_0031	12.5
DAP1_0033	11.79
DAP1_0036	10.11
DAP1_0038	11.23
DAP1_0040	12.51
DAP1_0041	9.64
DAP1_0042	11.66
DAP1_0050	12.69
DAP1_0051	8.35
DAP1_0054	12.2
DAP1_0056	9
DAP1_0061	9.68
DAP1_0062	12.04
DAP1_0063	12.33
DAP1_0066	10.93
DAP1_0067	12.69
DAP1_0069	8.67
DAP1_0070	10.35
DAP1_0074	10.78
DAP1_0075	10.29
DAP1_0080	8.6
DAP1_0087	10.03
DAP1_0096	8.36
DAP1_0101	8.84
DAP1_0102	10.54
DAP1_0103	12.37
DAP1_0105	9.68
DAP1_0109	12.1
DAP1_0110	10.41
DAP1_0111	9.05
DAP1_0113	12.35
DAP1_0119	8.58
DAP1_0121	9.3
DAP1_0122	9.45
DAP1_0124	13.77
DAP1_0125	10.91
DAP1_0130	8.84
DAP1_0140	8.82
DAP1_0147	10.04
DAP1_0152	12.63
DAP1_0153	8.16
DAP1_0154	13.38
DAP1_0162	11.46
DAP1_0171	12.37
DAP1_0172	13.25
DAP1_0174	13.44
DAP1_0178	9.2
DAP1_0182	12.1
DAP1_0185	13.39
DAP1_0186	8.42
DAP1_0205	12.97
DAP1_0206	11.43
DAP1_0208	9.68
DAP1_0209	11.74
DAP1_0210	9.31
DAP1_0213	8.9
DAP1_0215	8.59
DAP1_0220	12.98
DAP1_0223	11.12
DAP1_0230	8.13
DAP1_0233	12.92
DAP1_0234	11.71
DAP1_0240	9.3
DAP1_0247	11.75
DAP1_0256	12.98
DAP1_0261	11.01
DAP1_0263	11
DAP1_0265	11.09
DAP1_0269	9.07
DAP1_0270	11.51
DAP1_0273	12.28
DAP1_0285	12.29
DAP1_0296	11.32
DAP1_0300	10.67
DAP1_0312	13.44
DAP1_0315	8.26
DAP1_0331	13.18
DAP1_0341	11.99
DAP1_0361	12.62
DAP1_0368	9.3
DAP1_0377	12.17
DAP1_0398	12.73
DAP1_0401	12.71
DAP1_0403	9.95
DAP1_0427	12.16
DAP1_0430	10.26
DAP1_0433	8.22
DAP1_0437	11.57
DAP1_0442	9.29
DAP1_0453	11.99
DAP1_0460	8.79
DAP1_0480	9.98
DAP1_0482	8.58
DAP1_0509	12.3
DAP1_0515	10.74
DAP1_0542	8.27
DAP1_0559	9.39
DAP1_0581	11.08
DAP1_0585	8.22
DAP1_0587	12.22
DAP1_0594	13.41
DAP1_0601	10.19
DAP1_0605	11.39
DAP1_0606	8.45
DAP1_0607	9.94
DAP1_0609	14.5
DAP1_0614	9.43
DAP1_0619	12.37
DAP1_0620	13.04
DAP1_0623	9
DAP1_0629	13.94
DAP1_0630	9.59
DAP1_0631	11.79
DAP1_0634	11.88
DAP1_0636	13.34
DAP1_0648	8.86
DAP1_0649	12.73
DAP1_0651	11.65
DAP1_0654	11.21
DAP1_0656	12.98
DAP1_0657	12.98
DAP1_0671	10.14
DAP1_0674	9.51
DAP1_0678	12.5
DAP1_0682	13.03
DAP1_0691	10.94
DAP1_0692	11.09
DAP1_0696	12.13
DAP1_0697	9.42
DAP1_0700	13.01
DAP1_0715	12.69
DAP1_0717	10.9
DAP1_0718	10.25
DAP1_0720	8.64
DAP1_0721	9.48
DAP1_0724	10.79
DAP1_0731	10.44
