Reporter Identifier	VALUE
DAP1_0003	10.42
DAP1_0010	12.29
DAP1_0021	8.52
DAP1_0023	9.57
DAP1_0027	11.44
DAP1_0028	7.96
DAP1_0030	11.54
DAP1_0031	11.65
DAP1_0033	10.44
DAP1_0036	8.65
DAP1_0038	12.69
DAP1_0040	12.59
DAP1_0041	10.65
DAP1_0042	10.44
DAP1_0050	12.99
DAP1_0051	10.75
DAP1_0054	11.24
DAP1_0056	9.93
DAP1_0061	10.62
DAP1_0062	13.69
DAP1_0063	11.87
DAP1_0066	8.02
DAP1_0067	12.16
DAP1_0069	9.2
DAP1_0070	9.84
DAP1_0074	11.37
DAP1_0075	10.82
DAP1_0080	8.97
DAP1_0087	8.74
DAP1_0096	11.2
DAP1_0101	9.77
DAP1_0102	13.09
DAP1_0103	11.51
DAP1_0105	11.91
DAP1_0109	12.09
DAP1_0110	8.23
DAP1_0111	9.39
DAP1_0113	11.17
DAP1_0119	12.98
DAP1_0121	9.45
DAP1_0122	10.33
DAP1_0124	12.85
DAP1_0125	13.46
DAP1_0130	9.54
DAP1_0140	9.24
DAP1_0147	10.07
DAP1_0152	12.35
DAP1_0153	9.95
DAP1_0154	13.29
DAP1_0162	9.89
DAP1_0171	13.57
DAP1_0172	12.72
DAP1_0174	13.26
DAP1_0178	8.15
DAP1_0182	9.44
DAP1_0185	14.06
DAP1_0186	10.61
DAP1_0205	12.03
DAP1_0206	10.55
DAP1_0208	12.23
DAP1_0209	11.71
DAP1_0210	10.1
DAP1_0213	8.89
DAP1_0215	9.11
DAP1_0220	12.32
DAP1_0223	10.52
DAP1_0230	10.01
DAP1_0233	12.12
DAP1_0234	12.02
DAP1_0240	10.19
DAP1_0247	12.42
DAP1_0256	12.55
DAP1_0261	9.97
DAP1_0263	9.08
DAP1_0265	9.23
DAP1_0269	10.26
DAP1_0270	12.29
DAP1_0273	10.26
DAP1_0285	11.56
DAP1_0296	13.26
DAP1_0300	9.36
DAP1_0312	13.11
DAP1_0315	9.75
DAP1_0331	13.89
DAP1_0341	12.67
DAP1_0361	12.29
DAP1_0368	12.49
DAP1_0377	12.7
DAP1_0398	12.56
DAP1_0401	12.7
DAP1_0403	8.58
DAP1_0427	11.67
DAP1_0430	11.88
DAP1_0433	8.19
DAP1_0437	11.57
DAP1_0442	9.59
DAP1_0453	12.14
DAP1_0460	8.43
DAP1_0480	11.18
DAP1_0482	8.37
DAP1_0509	12.41
DAP1_0515	8.46
DAP1_0542	7.67
DAP1_0559	9.85
DAP1_0581	10.53
DAP1_0585	8.98
DAP1_0587	13.45
DAP1_0594	12.96
DAP1_0601	8.02
DAP1_0605	13.43
DAP1_0606	8.01
DAP1_0607	10.58
DAP1_0609	13.94
DAP1_0614	8.89
DAP1_0619	13.38
DAP1_0620	12.78
DAP1_0623	12.48
DAP1_0629	13.23
DAP1_0630	10.58
DAP1_0631	10.99
DAP1_0634	10.52
DAP1_0636	13.56
DAP1_0648	9.27
DAP1_0649	12.97
DAP1_0651	10.42
DAP1_0654	10.61
DAP1_0656	10.7
DAP1_0657	11.41
DAP1_0671	13.18
DAP1_0674	9.6
DAP1_0678	14.1
DAP1_0682	12.54
DAP1_0691	12.54
DAP1_0692	9.34
DAP1_0696	8.56
DAP1_0697	9.91
DAP1_0700	12.23
DAP1_0715	13.29
DAP1_0717	8.33
DAP1_0718	10.2
DAP1_0720	9.95
DAP1_0721	12.7
DAP1_0724	8.04
DAP1_0731	8.79
DAP1_0732	8.38
DAP1_0740	8.81
DAP1_0742	9.02
DAP1_0743	12.36
DAP1_0744	11.63
DAP1_0745	9.76
DAP1_0747	8.29
DAP1_0751	11.6
DAP1_0752	10.93
DAP1_0753	9.71
DAP1_0754	9.95
DAP1_0756	8.52
DAP1_0758	13.79
DAP1_0759	9.46
DAP1_0764	10.63
DAP1_0775	11.54
DAP1_0778	11.39
DAP1_0780	11.19
DAP1_0781	11.62
DAP1_0791	13.63
DAP1_0799	8.92
DAP1_0800	11.4
DAP1_0805	11.28
DAP1_0807	8.53
DAP1_0813	10.06
DAP1_0814	12.44
DAP1_0815	8.4
DAP1_0820	12.29
DAP1_0822	12.41
DAP1_0839	12.87
DAP1_0840	12.77
DAP1_0844	12.26
DAP1_0859	13.18
DAP1_0861	10.92
DAP1_0864	11.82
DAP1_0881	8.15
DAP1_0884	9.89
DAP1_0885	7.82
DAP1_0887	11.35
DAP1_0889	8.03
DAP1_0890	12.18
DAP1_0891	11.62
DAP1_0895	10.8
DAP1_0897	10.69
DAP1_0901	9.55
DAP1_0905	8.5
DAP1_0913	11.05
DAP1_0915	8.5
DAP1_0917	8.36
DAP1_0920	12.61
DAP1_0925	11.91
DAP1_0926	10.58
DAP1_0929	11.86
DAP1_0931	10.83
DAP1_0933	9.44
DAP1_0935	8.67
DAP1_0936	12.65
DAP1_0940	13.04
DAP1_0942	12.44
DAP1_0943	11.18
DAP1_0944	8.58
DAP1_0946	11.84
DAP1_0949	13.4
DAP1_0950	10.41
DAP1_0951	13.43
DAP1_0952	13
DAP1_0958	11.54
DAP1_0960	10.95
DAP1_0961	8.49
DAP1_0963	12.01
DAP1_0969	10.53
DAP1_0971	8.2
DAP1_0973	12.03
DAP1_0974	11.54
DAP1_0976	12.65
DAP1_0977	7.82
DAP1_0978	10.41
DAP1_0979	11.75
DAP1_0984	9.14
DAP1_0987	10.55
DAP1_0989	12.94
DAP1_0991	8.06
DAP1_0992	12.82
DAP1_1000	12.15
DAP1_1001	9.29
DAP1_1002	12.6
DAP1_1006	10.47
DAP1_1009	11.14
DAP1_1011	13.27
DAP1_1015	11.22
DAP1_1020	10.15
DAP1_1022	12.43
DAP1_1024	12.59
DAP1_1030	10.83
DAP1_1032	11.01
DAP1_1037	11.84
DAP1_1039	9.85
DAP1_1040	11.08
DAP1_1041	9.63
DAP1_1042	13.25
DAP1_1044	10.76
DAP1_1046	9.58
DAP1_1047	11.41
DAP1_1051	12.46
DAP1_1055	12.84
DAP1_1060	8.75
DAP1_1063	13.33
DAP1_1066	14.47
DAP1_1071	8.16
DAP1_1072	9.09
DAP1_1077	11.56
DAP1_1078	8.35
DAP1_1079	14.38
DAP1_1080	9.94
DAP1_1085	10.98
DAP1_1086	13.5
DAP1_1087	12.34
DAP1_1088	12.31
DAP1_1093	13.37
DAP1_1097	8.16
DAP1_1098	13.76
DAP1_1099	12.44
DAP1_1102	11.33
DAP1_1104	12.76
DAP1_1105	8.49
DAP1_1109	11.23
DAP1_1110	7.72
DAP1_1111	12.78
DAP1_1124	10.63
DAP1_1125	8.94
DAP1_1138	8.14
DAP1_1145	9.82
DAP1_1151	10.3
DAP1_1164	11.58
DAP1_1170	11.94
DAP1_1171	12.27
DAP1_1173	11.26
DAP1_1178	11.62
DAP1_1182	8.23
DAP1_1190	11.62
DAP1_1191	9.95
DAP1_1203	8.26
DAP1_1219	8.89
DAP1_1222	8.95
DAP1_1225	9.94
DAP1_1227	10.66
DAP1_1228	13.01
DAP1_1229	13.39
DAP1_1240	11.17
DAP1_1241	9.01
DAP1_1248	10.1
DAP1_1250	11.23
DAP1_1255	8.04
DAP1_1256	8.16
DAP1_1262	11.52
DAP1_1265	8.89
DAP1_1267	10.74
DAP1_1269	9.18
DAP1_1270	8.2
DAP1_1272	10.75
DAP1_1276	13.57
DAP1_1277	12.18
DAP1_1285	12.95
DAP1_1286	10.01
DAP1_1307	12.07
DAP1_1309	11.96
DAP1_1311	13.69
DAP1_1312	13.18
DAP1_1317	10.97
DAP1_1319	13.48
DAP1_1320	12.34
DAP1_1321	8.4
DAP1_1324	12.34
DAP1_1326	8.39
DAP1_1330	8.22
DAP1_1331	8.03
DAP1_1333	10.08
DAP1_1334	9.87
DAP1_1335	13.21
DAP1_1337	11.89
DAP1_1338	9.12
DAP1_1339	8.72
DAP1_1340	13.02
DAP1_1341	10.96
DAP1_1343	8.47
DAP1_1344	8.52
DAP1_1360	11.96
DAP1_1370	13.06
DAP1_1375	12.67
DAP1_1377	8.64
DAP1_1382	12.04
DAP1_1384	12.19
DAP1_1389	11.34
DAP1_1390	11.31
DAP1_1392	11.13
DAP1_1407	12.07
DAP1_1432	11.93
DAP1_1439	11.96
DAP1_1462	8.84
DAP1_1482	12.82
DAP1_1493	12.78
DAP1_1543	11.63
DAP1_1549	10.04
DAP1_1550	11.15
DAP1_1553	8.43
DAP1_1558	8.38
DAP1_1559	13.04
DAP1_1562	8.79
DAP1_1563	8.28
DAP1_1564	12.46
DAP1_1565	8.19
DAP1_1577	13.63
DAP1_1581	8.84
DAP1_1586	8.04
DAP1_1587	11.57
DAP1_1588	12.2
DAP1_1590	11.52
DAP1_1595	12.51
DAP1_1596	8.66
DAP1_1599	10.61
DAP1_1600	10.32
DAP1_1601	11.44
DAP1_1604	8.45
DAP1_1608	12.01
DAP1_1610	11.43
DAP1_1617	8.08
DAP1_1623	8.18
DAP1_1628	11.54
DAP1_1629	10.74
DAP1_1634	12.95
DAP1_1640	12.26
DAP1_1644	9.78
DAP1_1645	11.94
DAP1_1646	9.4
DAP1_1647	10.24
DAP1_1650	10.4
DAP1_1651	10.63
DAP1_1653	8.51
DAP1_1655	12.25
DAP1_1658	10.12
DAP1_1661	8.89
DAP1_1665	10.86
DAP1_1671	8.02
DAP1_1676	11.6
DAP1_1678	13.03
DAP1_1679	12.32
DAP1_1680	12.2
DAP1_1682	8.26
DAP1_1685	9.71
DAP1_1688	11.79
DAP1_1689	8.47
DAP1_1693	9
DAP1_1697	10.18
DAP1_1700	12.2
DAP1_1702	11.61
DAP1_1707	9.08
DAP1_1711	10.56
DAP1_1714	12.92
DAP1_1718	11.26
DAP1_1730	12.21
DAP1_1739	10.91
DAP1_1740	12.12
DAP1_1741	8.89
DAP1_1743	10.28
DAP1_1746	12.07
DAP1_1749	8.26
DAP1_1753	11.19
DAP1_1756	10.48
DAP1_1757	12.12
DAP1_1759	9.55
DAP1_1761	10.1
DAP1_1762	11.4
DAP1_1765	12.47
DAP1_1766	9.44
DAP1_1768	8.34
DAP1_1771	10.81
DAP1_1772	12.1
DAP1_1775	11.66
DAP1_1776	11.84
DAP1_1777	12.69
DAP1_1780	9.43
DAP1_1784	11.67
DAP1_1786	9.64
DAP1_1787	10.03
DAP1_1789	11.04
DAP1_1790	11.1
DAP1_1795	12.14
DAP1_1799	11.94
DAP1_1804	11.68
DAP1_1808	12.84
DAP1_1823	10.7
DAP1_1824	8.3
DAP1_1825	9.76
DAP1_1826	12.83
DAP1_1828	12.37
DAP1_1836	9.57
DAP1_1838	8.87
DAP1_1841	11
DAP1_1842	10.06
DAP1_1844	11.34
DAP1_1850	10.92
DAP1_1851	8.6
DAP1_1856	11.83
DAP1_1861	12.33
DAP1_1862	8.29
DAP1_1868	12.66
DAP1_1869	8.92
DAP1_1870	11.5
DAP1_1871	10.77
DAP1_1873	9.79
DAP1_1874	11.62
DAP1_1876	14.05
DAP1_1882	12.66
DAP1_1883	10.85
DAP1_1884	8.23
DAP1_1885	9.41
DAP1_1886	13.27
DAP1_1887	11.41
DAP1_1888	8.84
DAP1_1893	13.79
DAP1_1895	8.03
DAP1_1899	9.46
DAP1_1908	9.29
DAP1_1913	12.57
DAP1_1931	10.82
DAP1_1935	10.33
DAP1_1938	9.33
DAP1_1942	10.36
DAP1_1944	10.37
DAP1_1946	9.61
DAP1_1949	12.14
DAP1_1950	10.42
DAP1_1951	10.4
DAP1_1953	9.23
DAP1_1954	13.37
DAP1_1955	11.79
DAP1_1959	12.52
DAP1_1961	9.65
DAP1_1967	8.43
DAP1_1969	8.58
DAP1_1974	10.89
DAP1_1980	8.53
DAP1_1983	10.18
DAP1_1984	11.16
DAP1_1985	9.46
DAP1_1987	14.12
DAP1_1989	11.05
DAP1_1990	11.07
DAP1_1994	9.3
DAP1_1998	10.04
DAP1_2003	11.21
DAP1_2008	11.32
DAP1_2016	11
DAP1_2017	13.33
DAP1_2019	9.57
DAP1_2021	10.09
DAP1_2022	10.23
DAP1_2024	11.82
DAP1_2027	10.44
DAP1_2029	11.97
DAP1_2035	10.15
DAP1_2037	12.42
DAP1_2038	9.87
DAP1_2039	8.42
DAP1_2043	9.93
DAP1_2044	11.97
DAP1_2048	11.53
DAP1_2049	12.19
DAP1_2050	8.86
DAP1_2051	9.22
DAP1_2054	8.62
DAP1_2057	13.45
DAP1_2059	9.95
DAP1_2062	12.26
DAP1_2065	12.26
DAP1_2081	11.7
DAP1_2087	11.56
DAP1_2091	12.02
DAP1_2094	10.44
DAP1_2095	14.26
DAP1_2097	11.89
DAP1_2099	11.13
DAP1_2100	14
DAP1_2110	11.98
DAP1_2114	8.33
DAP1_2117	9.44
DAP1_2122	10.88
DAP1_2127	9.62
DAP1_2129	13.34
DAP1_2136	8.84
DAP1_2137	11.09
DAP1_2139	10.12
DAP1_2143	13.31
DAP1_2144	9.58
DAP1_2149	10.56
DAP1_2152	10.37
DAP1_2153	8.54
DAP1_2155	10.28
DAP1_2157	9.71
DAP1_2158	11.79
DAP1_2160	11.88
DAP1_2161	11.45
DAP1_2162	11.55
DAP1_2163	8.84
DAP1_2164	8.96
DAP1_2166	13.43
DAP1_2167	12.98
DAP1_2168	11.59
DAP1_2170	12.22
DAP1_2173	12.35
DAP1_2174	11.33
DAP1_2179	8.39
DAP1_2180	10.92
DAP1_2182	9.64
DAP1_2184	11.11
DAP1_2185	12.59
DAP1_2187	13.43
DAP1_2190	11.52
DAP1_2192	10.87
DAP1_2195	8.32
DAP1_2198	12.3
DAP1_2202	9.43
DAP1_2204	10.08
DAP1_2205	13.14
DAP1_2208	8.41
DAP1_2209	12.92
DAP1_2215	13.36
DAP1_2216	14.1
DAP1_2222	10.29
DAP1_2225	9.29
DAP1_2230	11.49
DAP1_2232	12.49
DAP1_2236	13.13
DAP1_2247	8.31
DAP1_2249	14.28
DAP1_2252	12.65
DAP1_2254	9.15
DAP1_2256	12.93
DAP1_2257	12.04
DAP1_2259	9.22
DAP1_2261	10.07
DAP1_2265	11.06
DAP1_2271	12.13
DAP1_2277	8.68
DAP1_2281	11.23
DAP1_2291	8.96
DAP1_2296	11.98
DAP1_2297	10.25
DAP1_2298	8.68
DAP1_2304	13.56
DAP1_2305	9.72
DAP1_2308	12.5
DAP1_2311	13.07
