Reporter Identifier	VALUE
DAP1_0003	11.75
DAP1_0010	12.59
DAP1_0021	10.17
DAP1_0023	9.14
DAP1_0027	10.03
DAP1_0028	8.28
DAP1_0030	12.13
DAP1_0031	12.87
DAP1_0033	10.26
DAP1_0036	9.77
DAP1_0038	8.94
DAP1_0040	13.4
DAP1_0041	8.82
DAP1_0042	10.32
DAP1_0050	13.03
DAP1_0051	9.24
DAP1_0054	10.6
DAP1_0056	12.05
DAP1_0061	10.2
DAP1_0062	9.92
DAP1_0063	11.5
DAP1_0066	12.73
DAP1_0067	11.6
DAP1_0069	8.39
DAP1_0070	11.89
DAP1_0074	9.74
DAP1_0075	9.82
DAP1_0080	8.05
DAP1_0087	9.33
DAP1_0096	8.34
DAP1_0101	8.14
DAP1_0102	12.13
DAP1_0103	12.38
DAP1_0105	10.48
DAP1_0109	9.13
DAP1_0110	7.97
DAP1_0111	11.5
DAP1_0113	12.56
DAP1_0119	8.79
DAP1_0121	8.5
DAP1_0122	8.49
DAP1_0124	13.33
DAP1_0125	8.78
DAP1_0130	9.01
DAP1_0140	10.21
DAP1_0147	11.23
DAP1_0152	12.72
DAP1_0153	8.01
DAP1_0154	13.58
DAP1_0162	11.59
DAP1_0171	10.52
DAP1_0172	13.8
DAP1_0174	13.22
DAP1_0178	8.48
DAP1_0182	12.05
DAP1_0185	12.19
DAP1_0186	9.53
DAP1_0205	13.8
DAP1_0206	10.91
DAP1_0208	9.16
DAP1_0209	11.43
DAP1_0210	9.6
DAP1_0213	8.92
DAP1_0215	9.07
DAP1_0220	13.6
DAP1_0223	10.62
DAP1_0230	8.15
DAP1_0233	12.31
DAP1_0234	12.64
DAP1_0240	10.54
DAP1_0247	12.28
DAP1_0256	13.38
DAP1_0261	12.43
DAP1_0263	10.42
DAP1_0265	11.24
DAP1_0269	9.36
DAP1_0270	12.01
DAP1_0273	12.9
DAP1_0285	12.64
DAP1_0296	9.04
DAP1_0300	9.66
DAP1_0312	13.35
DAP1_0315	8.51
DAP1_0331	12.66
DAP1_0341	11.39
DAP1_0361	12.92
DAP1_0368	12.57
DAP1_0377	11.33
DAP1_0398	13.42
DAP1_0401	12.23
DAP1_0403	10.08
DAP1_0427	11.86
DAP1_0430	10.33
DAP1_0433	8.24
DAP1_0437	11.32
DAP1_0442	11.12
DAP1_0453	12.68
DAP1_0460	8.18
DAP1_0480	12.17
DAP1_0482	9.96
DAP1_0509	12.59
DAP1_0515	9.97
DAP1_0542	9.5
DAP1_0559	8.6
DAP1_0581	10.91
DAP1_0585	10.79
DAP1_0587	8.9
DAP1_0594	13.47
DAP1_0601	8.29
DAP1_0605	12.58
DAP1_0606	9.88
DAP1_0607	10.37
DAP1_0609	14.07
DAP1_0614	8.49
DAP1_0619	10.68
DAP1_0620	13.83
DAP1_0623	9.34
DAP1_0629	14.45
DAP1_0630	10.94
DAP1_0631	11.18
DAP1_0634	11.71
DAP1_0636	12.8
DAP1_0648	10.56
DAP1_0649	12.46
DAP1_0651	11.82
DAP1_0654	11.97
DAP1_0656	13.55
DAP1_0657	13.23
DAP1_0671	11.67
DAP1_0674	10.61
DAP1_0678	11.69
DAP1_0682	13.08
DAP1_0691	9.55
DAP1_0692	10.19
DAP1_0696	8.95
DAP1_0697	10.81
DAP1_0700	13.77
DAP1_0715	10.81
DAP1_0717	9.31
DAP1_0718	11.99
DAP1_0720	8.53
DAP1_0721	12.82
DAP1_0724	9.96
DAP1_0731	10.9
DAP1_0732	11.32
DAP1_0740	9.03
DAP1_0742	10.44
DAP1_0743	12.53
DAP1_0744	12.28
DAP1_0745	8.3
DAP1_0747	8.83
DAP1_0751	11.03
DAP1_0752	12.79
DAP1_0753	8.56
DAP1_0754	11.86
DAP1_0756	9.91
DAP1_0758	14.04
DAP1_0759	12
DAP1_0764	11.96
DAP1_0775	11.45
DAP1_0778	9.81
DAP1_0780	10.47
DAP1_0781	12.18
DAP1_0791	8.26
DAP1_0799	11.8
DAP1_0800	12.38
DAP1_0805	11.24
DAP1_0807	10.21
DAP1_0813	11.27
DAP1_0814	12.09
DAP1_0815	10.11
DAP1_0820	11.41
DAP1_0822	13.08
DAP1_0839	11.07
DAP1_0840	13.75
DAP1_0844	11.69
DAP1_0859	10.87
DAP1_0861	11.06
DAP1_0864	11.97
DAP1_0881	9.69
DAP1_0884	11.63
DAP1_0885	9.62
DAP1_0887	11.57
DAP1_0889	9.18
DAP1_0890	12.95
DAP1_0891	12.3
DAP1_0895	10.87
DAP1_0897	11.97
DAP1_0901	12.09
DAP1_0905	9.64
DAP1_0913	12.2
DAP1_0915	9.3
DAP1_0917	9.37
DAP1_0920	12.71
DAP1_0925	10.74
DAP1_0926	8.35
DAP1_0929	12.64
DAP1_0931	9.8
DAP1_0933	11.23
DAP1_0935	8.24
DAP1_0936	12.86
DAP1_0940	14.09
DAP1_0942	10.38
DAP1_0943	11.62
DAP1_0944	11.52
DAP1_0946	13.3
DAP1_0949	10.23
DAP1_0950	11.36
DAP1_0951	13.52
DAP1_0952	11.77
DAP1_0958	11.88
DAP1_0960	10.08
DAP1_0961	9.92
DAP1_0963	12.08
DAP1_0969	8.9
DAP1_0971	10.18
DAP1_0973	12.07
DAP1_0974	11.71
DAP1_0976	12.99
DAP1_0977	10.17
DAP1_0978	9.81
DAP1_0979	13.19
DAP1_0984	10.38
DAP1_0987	9
