Reporter Identifier	VALUE
DAP1_0003	12.22
DAP1_0010	12.44
DAP1_0021	8.94
DAP1_0023	9.19
DAP1_0027	10.35
DAP1_0028	9.57
DAP1_0030	11.14
DAP1_0031	11.95
DAP1_0033	10.55
DAP1_0036	9.76
DAP1_0038	11.76
DAP1_0040	12.94
DAP1_0041	9.44
DAP1_0042	8.59
DAP1_0050	13.25
DAP1_0051	10.14
DAP1_0054	11.54
DAP1_0056	11.56
DAP1_0061	10.11
DAP1_0062	13.83
DAP1_0063	10.87
DAP1_0066	10.85
DAP1_0067	12.19
DAP1_0069	9.76
DAP1_0070	11.46
DAP1_0074	10.71
DAP1_0075	8.55
DAP1_0080	9.15
DAP1_0087	9.66
DAP1_0096	10.6
DAP1_0101	8.81
DAP1_0102	12.68
DAP1_0103	11.82
DAP1_0105	9.8
DAP1_0109	11.93
DAP1_0110	9.9
DAP1_0111	9.66
DAP1_0113	12.33
DAP1_0119	12.22
DAP1_0121	8.84
DAP1_0122	8.89
DAP1_0124	12.97
DAP1_0125	12.59
DAP1_0130	10.25
DAP1_0140	8.92
DAP1_0147	10.63
DAP1_0152	13.23
DAP1_0153	9.78
DAP1_0154	13.96
DAP1_0162	10.76
DAP1_0171	13.41
DAP1_0172	13.64
DAP1_0174	12.43
DAP1_0178	8.53
DAP1_0182	11.96
DAP1_0185	14.01
DAP1_0186	11.23
DAP1_0205	13.38
DAP1_0206	11.59
DAP1_0208	10.47
DAP1_0209	11.21
DAP1_0210	9.31
DAP1_0213	8.79
DAP1_0215	8.63
DAP1_0220	13.43
DAP1_0223	9.4
DAP1_0230	8.34
DAP1_0233	11.92
DAP1_0234	12.21
DAP1_0240	10.74
DAP1_0247	11
DAP1_0256	12.89
DAP1_0261	11.44
DAP1_0263	9.58
DAP1_0265	9.21
DAP1_0269	10.65
DAP1_0270	12.04
DAP1_0273	12.5
DAP1_0285	11.07
DAP1_0296	12.91
DAP1_0300	11.6
DAP1_0312	11.94
DAP1_0315	9.4
DAP1_0331	13.97
DAP1_0341	12.05
DAP1_0361	12.18
DAP1_0368	11.44
DAP1_0377	12.83
DAP1_0398	12.9
DAP1_0401	12.74
DAP1_0403	9.01
DAP1_0427	11.64
DAP1_0430	10.87
DAP1_0433	8.02
DAP1_0437	11.62
DAP1_0442	8.93
DAP1_0453	11.23
DAP1_0460	8.29
DAP1_0480	11.49
DAP1_0482	10.07
DAP1_0509	12.58
DAP1_0515	8.26
DAP1_0542	9.88
DAP1_0559	8.92
DAP1_0581	11.28
DAP1_0585	10.54
DAP1_0587	12.69
DAP1_0594	13.24
DAP1_0601	8.65
DAP1_0605	13.42
DAP1_0606	8.21
DAP1_0607	9.84
DAP1_0609	14.32
DAP1_0614	8.74
DAP1_0619	13.14
DAP1_0620	13.74
DAP1_0623	8.55
DAP1_0629	14.06
DAP1_0630	9.31
DAP1_0631	10.57
DAP1_0634	11.24
DAP1_0636	13.34
DAP1_0648	8.45
DAP1_0649	12.68
DAP1_0651	11.6
DAP1_0654	9.45
DAP1_0656	12.92
DAP1_0657	12.81
DAP1_0671	12.44
DAP1_0674	9.61
DAP1_0678	13.5
DAP1_0682	12.73
DAP1_0691	12.68
DAP1_0692	11.72
DAP1_0696	9.76
DAP1_0697	9.2
DAP1_0700	13.67
DAP1_0715	13.23
DAP1_0717	10.47
DAP1_0718	9.27
DAP1_0720	9.25
DAP1_0721	12.27
DAP1_0724	10.15
DAP1_0731	10.04
DAP1_0732	8.38
DAP1_0740	11.13
DAP1_0742	11.82
DAP1_0743	11.05
DAP1_0744	12.93
DAP1_0745	8.61
DAP1_0747	9.88
DAP1_0751	12.24
DAP1_0752	11.45
DAP1_0753	8.53
DAP1_0754	12.62
DAP1_0756	8.64
DAP1_0758	14.27
DAP1_0759	9.54
DAP1_0764	11.74
DAP1_0775	10.62
DAP1_0778	10.37
DAP1_0780	9.82
DAP1_0781	11.33
DAP1_0791	12.69
DAP1_0799	11.58
DAP1_0800	12.04
DAP1_0805	12.6
DAP1_0807	10.18
DAP1_0813	11.16
DAP1_0814	11.72
DAP1_0815	10.34
DAP1_0820	10.58
DAP1_0822	13.29
DAP1_0839	11.53
DAP1_0840	13.13
DAP1_0844	12.28
DAP1_0859	12.35
DAP1_0861	9.89
DAP1_0864	10.47
DAP1_0881	8.46
DAP1_0884	8.67
DAP1_0885	8.24
DAP1_0887	10.92
DAP1_0889	8.02
DAP1_0890	12.58
DAP1_0891	12.11
DAP1_0895	9.6
DAP1_0897	9.85
DAP1_0901	11.57
DAP1_0905	10.44
DAP1_0913	11.89
DAP1_0915	8.81
DAP1_0917	8.59
DAP1_0920	12.33
DAP1_0925	12.85
DAP1_0926	8.17
DAP1_0929	12.68
DAP1_0931	10.67
DAP1_0933	11.55
DAP1_0935	8.15
DAP1_0936	12.78
DAP1_0940	13.95
DAP1_0942	12.12
DAP1_0943	11.11
DAP1_0944	11.01
DAP1_0946	12
DAP1_0949	13.02
DAP1_0950	11.75
DAP1_0951	13.94
DAP1_0952	12.01
DAP1_0958	11.51
DAP1_0960	9.87
DAP1_0961	9.91
DAP1_0963	11.1
DAP1_0969	9.49
DAP1_0971	9.47
DAP1_0973	12.43
DAP1_0974	11.69
DAP1_0976	12.07
DAP1_0977	10.5
DAP1_0978	9.3
DAP1_0979	12.25
DAP1_0984	11.68
DAP1_0987	9.53
DAP1_0989	13.4
DAP1_0991	8.1
DAP1_0992	12.45
DAP1_1000	10.8
DAP1_1001	8.77
DAP1_1002	11.83
DAP1_1006	10.1
DAP1_1009	11.98
DAP1_1011	12.77
DAP1_1015	11.11
DAP1_1020	13.4
DAP1_1022	13.21
DAP1_1024	12.83
DAP1_1030	11.39
DAP1_1032	9.49
DAP1_1037	12.44
DAP1_1039	11.75
DAP1_1040	9.95
DAP1_1041	10.28
DAP1_1042	12.89
DAP1_1044	9.87
DAP1_1046	10.79
DAP1_1047	10.03
DAP1_1051	12.5
DAP1_1055	12.7
