Reporter Identifier	VALUE
DAP1_0003	12.04
DAP1_0010	11.65
DAP1_0021	8.31
DAP1_0023	9.69
DAP1_0027	8.96
DAP1_0028	8.21
DAP1_0030	11.17
DAP1_0031	12.6
DAP1_0033	9.61
DAP1_0036	10.01
DAP1_0038	10.87
DAP1_0040	12.96
DAP1_0041	9.77
DAP1_0042	10.71
DAP1_0050	12.38
DAP1_0051	9.25
DAP1_0054	11.51
DAP1_0056	12.15
DAP1_0061	12.03
DAP1_0062	10.21
DAP1_0063	10.66
DAP1_0066	11.63
DAP1_0067	12.76
DAP1_0069	10.99
DAP1_0070	11.09
DAP1_0074	11.93
DAP1_0075	8.53
DAP1_0080	8.8
DAP1_0087	10.38
DAP1_0096	11.4
DAP1_0101	9.07
DAP1_0102	10.62
DAP1_0103	12.8
DAP1_0105	9.92
DAP1_0109	10.21
DAP1_0110	10.28
DAP1_0111	10.05
DAP1_0113	11.24
DAP1_0119	8.15
DAP1_0121	9.47
DAP1_0122	9.89
DAP1_0124	13.46
DAP1_0125	11.18
DAP1_0130	9.46
DAP1_0140	8.14
DAP1_0147	9.93
DAP1_0152	13.14
DAP1_0153	9.3
DAP1_0154	13.57
DAP1_0162	10.09
DAP1_0171	12.11
DAP1_0172	13.77
DAP1_0174	12.92
DAP1_0178	8.94
DAP1_0182	9.29
DAP1_0185	12.91
DAP1_0186	10.36
DAP1_0205	13.45
DAP1_0206	10.79
DAP1_0208	10.94
DAP1_0209	11.54
DAP1_0210	10.37
DAP1_0213	9.49
DAP1_0215	8.7
DAP1_0220	13.49
DAP1_0223	11.89
DAP1_0230	9.1
DAP1_0233	12.5
DAP1_0234	12.17
DAP1_0240	10.63
DAP1_0247	12.21
DAP1_0256	12.76
DAP1_0261	10.57
DAP1_0263	11.03
DAP1_0265	9.05
DAP1_0269	9.38
DAP1_0270	12.11
DAP1_0273	12.76
DAP1_0285	12.2
DAP1_0296	11.04
DAP1_0300	11.91
DAP1_0312	13.18
DAP1_0315	10.1
DAP1_0331	12.58
DAP1_0341	11.57
DAP1_0361	12.94
DAP1_0368	12.22
