Reporter Identifier	VALUE
DAP1_1099	11.56
DAP1_1102	11.95
DAP1_1104	13.19
DAP1_1105	10.37
DAP1_1109	12.14
DAP1_1110	9.03
DAP1_1111	13.11
DAP1_1124	10.97
DAP1_1125	10.26
DAP1_1138	9.13
DAP1_1145	9.69
DAP1_1151	11.47
DAP1_1164	11.98
DAP1_1170	12.34
DAP1_1171	9.63
DAP1_1173	8.81
DAP1_1178	10.77
DAP1_1182	8.03
DAP1_1190	9.75
DAP1_1191	10.13
DAP1_1203	11.28
DAP1_1219	9.47
DAP1_1222	10.29
DAP1_1225	12.36
DAP1_1227	10.05
DAP1_1228	14.04
DAP1_1229	12.23
DAP1_1240	10.34
DAP1_1241	8.53
DAP1_1248	12.51
DAP1_1250	10.54
DAP1_1255	8.92
DAP1_1256	8.92
DAP1_1262	10.16
DAP1_1265	8.33
DAP1_1267	10.33
DAP1_1269	11.12
DAP1_1270	8.99
DAP1_1272	10.37
DAP1_1276	10.03
DAP1_1277	11.26
DAP1_1285	13.25
DAP1_1286	9.83
DAP1_1307	13.28
DAP1_1309	12.58
DAP1_1311	9.59
DAP1_1312	10.16
DAP1_1317	9.8
DAP1_1319	12.77
DAP1_1320	11.41
DAP1_1321	8.55
DAP1_1324	12.12
DAP1_1326	9.1
DAP1_1330	8.57
DAP1_1331	9.72
DAP1_1333	12.6
DAP1_1334	10.47
DAP1_1335	13.19
DAP1_1337	11.75
DAP1_1338	11.66
DAP1_1339	11.17
DAP1_1340	11.55
DAP1_1341	9.63
DAP1_1343	8.8
DAP1_1344	10.18
DAP1_1360	12.5
DAP1_1370	10.33
DAP1_1375	13.64
DAP1_1377	8.41
DAP1_1382	12.94
DAP1_1384	12.39
DAP1_1389	10.98
DAP1_1390	11.12
DAP1_1392	13.26
DAP1_1407	12.75
DAP1_1432	11.69
DAP1_1439	12.99
DAP1_1462	9.04
DAP1_1482	12.84
DAP1_1493	13.45
DAP1_1543	10.01
DAP1_1549	9.25
DAP1_1550	11.76
DAP1_1553	8.74
DAP1_1558	8.43
DAP1_1559	13.12
DAP1_1562	8.53
DAP1_1563	8.31
DAP1_1564	9.34
DAP1_1565	9.86
DAP1_1577	8.72
DAP1_1581	8.28
DAP1_1586	10.73
DAP1_1587	12.15
DAP1_1588	12.43
DAP1_1590	11.26
DAP1_1595	13.03
DAP1_1596	10.64
DAP1_1599	10.52
DAP1_1600	9.18
DAP1_1601	13.19
DAP1_1604	8.14
DAP1_1608	12.61
DAP1_1610	10.85
DAP1_1617	9.2
DAP1_1623	8.97
DAP1_1628	9.21
DAP1_1629	11.27
DAP1_1634	12.63
DAP1_1640	11.66
DAP1_1644	8.86
DAP1_1645	12.71
DAP1_1646	9.67
DAP1_1647	8.31
DAP1_1650	11.64
DAP1_1651	11.56
DAP1_1653	8.1
DAP1_1655	8.5
DAP1_1658	10.31
DAP1_1661	9.95
DAP1_1665	10.88
DAP1_1671	8.91
DAP1_1676	8.91
DAP1_1678	13.23
DAP1_1679	11.73
DAP1_1680	11.87
DAP1_1682	8.95
DAP1_1685	9.37
DAP1_1688	12.17
DAP1_1689	9.3
DAP1_1693	12.19
DAP1_1697	9.56
DAP1_1700	10.66
DAP1_1702	12.24
DAP1_1707	8.29
DAP1_1711	9.49
DAP1_1714	13.29
DAP1_1718	8.45
DAP1_1730	12.22
DAP1_1739	10.68
DAP1_1740	11.83
DAP1_1741	10.84
DAP1_1743	11.08
DAP1_1746	11.2
DAP1_1749	10.59
DAP1_1753	8.98
DAP1_1756	8.49
DAP1_1757	13.11
DAP1_1759	11.15
DAP1_1761	8.91
DAP1_1762	12.06
DAP1_1765	12.48
DAP1_1766	8.91
DAP1_1768	8.13
DAP1_1771	10.8
DAP1_1772	11.2
DAP1_1775	12.81
DAP1_1776	12.08
DAP1_1777	13.35
DAP1_1780	8.38
DAP1_1784	11.53
DAP1_1786	8.24
DAP1_1787	11.67
DAP1_1789	11.85
DAP1_1790	12.63
DAP1_1795	13.35
DAP1_1799	9.82
DAP1_1804	13.09
DAP1_1808	13.04
DAP1_1823	11.29
DAP1_1824	9.32
DAP1_1825	9.43
DAP1_1826	10.88
DAP1_1828	12.69
DAP1_1836	9.18
DAP1_1838	11.24
DAP1_1841	12.58
DAP1_1842	8.49
DAP1_1844	11.37
DAP1_1850	11.54
DAP1_1851	8.89
DAP1_1856	11.93
DAP1_1861	9.71
DAP1_1862	8.45
DAP1_1868	13.46
DAP1_1869	9.86
DAP1_1870	12.26
DAP1_1871	11
DAP1_1873	10.22
DAP1_1874	12.49
DAP1_1876	14.04
DAP1_1882	11.94
DAP1_1883	10.72
DAP1_1884	11.09
DAP1_1885	10.92
DAP1_1886	13.09
DAP1_1887	9.07
DAP1_1888	8.33
DAP1_1893	12.98
DAP1_1895	10.03
DAP1_1899	9.94
DAP1_1908	11.99
DAP1_1913	12.32
DAP1_1931	8.54
DAP1_1935	11.73
DAP1_1938	9.62
DAP1_1942	11.61
DAP1_1944	10.12
DAP1_1946	11.16
DAP1_1949	13.82
DAP1_1950	10.81
DAP1_1951	9.83
DAP1_1953	10.96
DAP1_1954	13.43
DAP1_1955	12.77
DAP1_1959	12.06
DAP1_1961	8.19
DAP1_1967	8.39
DAP1_1969	9.58
DAP1_1974	11.85
DAP1_1980	8.42
DAP1_1983	9.79
DAP1_1984	8.43
DAP1_1985	9.74
DAP1_1987	13.29
DAP1_1989	11.38
DAP1_1990	11.95
DAP1_1994	8.06
DAP1_1998	11.07
DAP1_2003	9.39
DAP1_2008	10.89
DAP1_2016	9.24
DAP1_2017	13.99
DAP1_2019	11.5
DAP1_2021	9.85
DAP1_2022	8.81
DAP1_2024	12.52
DAP1_2027	11.87
DAP1_2029	9.41
DAP1_2035	11.01
DAP1_2037	11.79
DAP1_2038	11.83
DAP1_2039	9.64
DAP1_2043	10.66
DAP1_2044	11.86
DAP1_2048	12.32
DAP1_2049	12.16
DAP1_2050	9.86
DAP1_2051	10.72
DAP1_2054	10.13
DAP1_2057	12.31
DAP1_2059	8.28
DAP1_2062	13
DAP1_2065	12.12
DAP1_2081	11.08
DAP1_2087	11.62
DAP1_2091	10.46
DAP1_2094	11.66
DAP1_2095	13.42
DAP1_2097	13.11
DAP1_2099	11.7
DAP1_2100	10.66
DAP1_2110	11.58
DAP1_2114	8.64
DAP1_2117	8.72
DAP1_2122	12.67
DAP1_2127	10.63
DAP1_2129	12.68
DAP1_2136	9.22
DAP1_2137	11.96
DAP1_2139	11.65
DAP1_2143	12.83
DAP1_2144	9.27
DAP1_2149	9.52
DAP1_2152	12.05
DAP1_2153	9.78
DAP1_2155	11.78
DAP1_2157	8.94
DAP1_2158	10.81
DAP1_2160	12.45
DAP1_2161	11.63
DAP1_2162	12.41
DAP1_2163	9.27
DAP1_2164	8.61
DAP1_2166	12.6
DAP1_2167	9.76
DAP1_2168	11.23
DAP1_2170	12.08
DAP1_2173	13.28
DAP1_2174	11.77
DAP1_2179	8.25
DAP1_2180	10.33
DAP1_2182	9.18
DAP1_2184	9.24
DAP1_2185	13.01
DAP1_2187	12.08
DAP1_2190	12.07
DAP1_2192	10
DAP1_2195	7.99
DAP1_2198	12.03
DAP1_2202	10.21
DAP1_2204	11.47
DAP1_2205	11.19
DAP1_2208	8.09
DAP1_2209	12.19
DAP1_2215	13.38
DAP1_2216	9.01
DAP1_2222	12.88
DAP1_2225	8.48
DAP1_2230	9.86
DAP1_2232	12.45
DAP1_2236	14.06
DAP1_2247	9.92
DAP1_2249	14.39
DAP1_2252	12.72
DAP1_2254	9.53
DAP1_2256	8.94
DAP1_2257	12.8
DAP1_2259	12.02
DAP1_2261	11.14
DAP1_2265	12.05
DAP1_2271	11.95
DAP1_2277	8.18
DAP1_2281	11.88
DAP1_2291	10.15
DAP1_2296	11.93
DAP1_2297	12.83
DAP1_2298	8.93
DAP1_2304	13.73
DAP1_2305	10.19
DAP1_2308	12.83
DAP1_2311	8.4
DAP1_2312	10.73
DAP1_2316	8.51
DAP1_2318	8.58
DAP1_2320	11.83
DAP1_2321	9.73
DAP1_2322	11.32
DAP1_2324	8.54
DAP1_2326	10.64
DAP1_2327	12.48
DAP1_2328	8.82
DAP1_2329	8.16
DAP1_2330	10.1
DAP1_2331	13.98
DAP1_2342	10.65
DAP1_2347	10.19
DAP1_2350	10.79
DAP1_2352	10.2
DAP1_2354	12.79
DAP1_2356	13.75
DAP1_2358	11.5
DAP1_2360	10.9
DAP1_2361	11.35
DAP1_2363	11.99
DAP1_2369	12.85
DAP1_2370	12.7
DAP1_2373	12.95
DAP1_2375	8.47
DAP1_2383	12.48
DAP1_2390	11.28
DAP1_2394	11.32
DAP1_2398	12.57
DAP1_2401	8.9
DAP1_2402	13.5
DAP1_2403	12.11
DAP1_2404	9.44
DAP1_2406	13.39
DAP1_2409	8.84
