Reporter Identifier	VALUE
DAP1_0003	12.12
DAP1_0010	12.48
DAP1_0021	8.96
DAP1_0023	8.94
DAP1_0027	9.33
DAP1_0028	8.48
DAP1_0030	12.24
DAP1_0031	12.38
DAP1_0033	9.25
DAP1_0036	9.52
DAP1_0038	9.78
DAP1_0040	13.8
DAP1_0041	9.06
DAP1_0042	9.16
DAP1_0050	12.71
DAP1_0051	8.62
DAP1_0054	11.18
DAP1_0056	11.68
DAP1_0061	10.16
DAP1_0062	8.84
DAP1_0063	11.83
DAP1_0066	11.91
DAP1_0067	12.54
DAP1_0069	9.78
DAP1_0070	11.51
DAP1_0074	10.97
DAP1_0075	9.68
DAP1_0080	7.96
DAP1_0087	9.9
DAP1_0096	8.28
DAP1_0101	9.37
DAP1_0102	12.32
DAP1_0103	11.95
DAP1_0105	11.79
DAP1_0109	9.59
DAP1_0110	7.95
DAP1_0111	10.8
DAP1_0113	12.83
DAP1_0119	8.97
DAP1_0121	8.52
DAP1_0122	9.66
DAP1_0124	13.34
DAP1_0125	9.27
DAP1_0130	8.81
DAP1_0140	11.52
DAP1_0147	11.15
DAP1_0152	12.9
DAP1_0153	9.48
DAP1_0154	13.52
DAP1_0162	11.17
DAP1_0171	10.32
DAP1_0172	14
DAP1_0174	13.81
DAP1_0178	8.26
DAP1_0182	12.05
DAP1_0185	11.15
DAP1_0186	11.14
DAP1_0205	13.04
DAP1_0206	10.63
DAP1_0208	10.68
DAP1_0209	10.89
DAP1_0210	9.12
DAP1_0213	8.46
DAP1_0215	9.57
DAP1_0220	13.68
DAP1_0223	10.72
DAP1_0230	9.37
DAP1_0233	12.33
DAP1_0234	12.47
DAP1_0240	10.24
DAP1_0247	12.2
DAP1_0256	13.39
DAP1_0261	12.5
DAP1_0263	9.17
DAP1_0265	10.49
DAP1_0269	10.8
DAP1_0270	12.05
DAP1_0273	12.83
DAP1_0285	12.72
DAP1_0296	8.74
DAP1_0300	10.43
DAP1_0312	12.58
DAP1_0315	8.65
DAP1_0331	12.98
DAP1_0341	10.32
DAP1_0361	12.88
DAP1_0368	12.77
DAP1_0377	12
DAP1_0398	13.31
DAP1_0401	12.78
DAP1_0403	9.9
DAP1_0427	12.35
DAP1_0430	10.51
DAP1_0433	7.94
DAP1_0437	11.55
DAP1_0442	10.24
DAP1_0453	12.08
DAP1_0460	8.2
DAP1_0480	11.59
DAP1_0482	10.77
DAP1_0509	12.34
DAP1_0515	10.48
DAP1_0542	9.07
DAP1_0559	8.61
DAP1_0581	10.86
DAP1_0585	10.18
DAP1_0587	8.1
DAP1_0594	13.43
DAP1_0601	9.87
DAP1_0605	11.7
DAP1_0606	10.65
DAP1_0607	9.61
DAP1_0609	14.13
DAP1_0614	8.35
DAP1_0619	9.78
DAP1_0620	12.88
DAP1_0623	10.71
DAP1_0629	14.23
DAP1_0630	8.9
DAP1_0631	11.46
DAP1_0634	11.39
DAP1_0636	13.03
DAP1_0648	9.82
DAP1_0649	12.87
DAP1_0651	11.83
DAP1_0654	10.42
DAP1_0656	13.35
DAP1_0657	13.76
DAP1_0671	11.75
DAP1_0674	9.67
DAP1_0678	12.66
DAP1_0682	13.28
DAP1_0691	9.5
DAP1_0692	10.88
DAP1_0696	8.92
DAP1_0697	8.82
DAP1_0700	13.99
DAP1_0715	11.49
DAP1_0717	10.03
DAP1_0718	8.79
DAP1_0720	9.23
DAP1_0721	12.22
DAP1_0724	10.84
DAP1_0731	10.52
DAP1_0732	11.33
DAP1_0740	10.18
DAP1_0742	10.13
DAP1_0743	12.69
DAP1_0744	13
DAP1_0745	8.03
DAP1_0747	8.26
DAP1_0751	11.24
DAP1_0752	13.14
DAP1_0753	10.03
DAP1_0754	12.02
DAP1_0756	8.52
DAP1_0758	14.14
DAP1_0759	11
DAP1_0764	12.77
DAP1_0775	10.56
DAP1_0778	10.57
DAP1_0780	9.44
DAP1_0781	12.43
DAP1_0791	9.58
DAP1_0799	11.69
DAP1_0800	12.76
DAP1_0805	12.14
DAP1_0807	10.22
DAP1_0813	11.41
DAP1_0814	12.65
DAP1_0815	10.42
DAP1_0820	11.36
DAP1_0822	13.34
DAP1_0839	11.58
DAP1_0840	13.49
DAP1_0844	11.69
DAP1_0859	11.82
DAP1_0861	10.9
DAP1_0864	11.94
DAP1_0881	10.63
DAP1_0884	11.57
DAP1_0885	8.13
DAP1_0887	10.87
DAP1_0889	8.84
DAP1_0890	12.77
DAP1_0891	10.86
DAP1_0895	11.08
DAP1_0897	11.64
DAP1_0901	11.46
DAP1_0905	10.66
DAP1_0913	11.43
DAP1_0915	9.86
DAP1_0917	8.27
DAP1_0920	12.54
DAP1_0925	12.55
DAP1_0926	8.19
DAP1_0929	12.54
DAP1_0931	10.33
DAP1_0933	11.94
DAP1_0935	8.64
DAP1_0936	12.57
DAP1_0940	14.03
DAP1_0942	10.49
DAP1_0943	11.73
DAP1_0944	11.2
DAP1_0946	13.07
DAP1_0949	8.82
DAP1_0950	11.03
DAP1_0951	13.69
DAP1_0952	13.12
DAP1_0958	11.55
DAP1_0960	9.81
DAP1_0961	10.16
DAP1_0963	12.52
DAP1_0969	9.03
DAP1_0971	9.58
DAP1_0973	11.93
DAP1_0974	11.43
DAP1_0976	12.81
DAP1_0977	10.97
DAP1_0978	9.35
DAP1_0979	12.66
DAP1_0984	11.24
DAP1_0987	9.41
DAP1_0989	13.13
DAP1_0991	9.17
DAP1_0992	13
DAP1_1000	8.03
DAP1_1001	8.6
DAP1_1002	12.27
DAP1_1006	10.73
DAP1_1009	12.18
DAP1_1011	12.97
DAP1_1015	11.41
DAP1_1020	13.35
DAP1_1022	12.62
DAP1_1024	12.33
DAP1_1030	10.66
DAP1_1032	9.87
DAP1_1037	12.1
DAP1_1039	11.24
DAP1_1040	10.33
DAP1_1041	12.24
DAP1_1042	9.29
DAP1_1044	11.11
DAP1_1046	11.62
DAP1_1047	9.16
DAP1_1051	12.22
DAP1_1055	11.47
DAP1_1060	8.35
DAP1_1063	8.8
DAP1_1066	14.07
DAP1_1071	8.28
DAP1_1072	8.42
DAP1_1077	10.89
DAP1_1078	10.68
