Reporter Identifier	VALUE
DAP1_0003	11.29
DAP1_0010	12.43
DAP1_0021	8.89
DAP1_0023	8.87
DAP1_0027	8.3
DAP1_0028	8.48
DAP1_0030	11.84
DAP1_0031	12.68
DAP1_0033	9.46
DAP1_0036	9.65
DAP1_0038	11.51
DAP1_0040	13.38
DAP1_0041	9.48
DAP1_0042	8.73
DAP1_0050	12.81
DAP1_0051	9.42
DAP1_0054	11.58
DAP1_0056	12.57
DAP1_0061	9.63
DAP1_0062	12.76
DAP1_0063	11.66
DAP1_0066	10.94
DAP1_0067	12.94
DAP1_0069	9.58
DAP1_0070	11.61
DAP1_0074	9.97
DAP1_0075	10.93
DAP1_0080	8.39
DAP1_0087	10.69
DAP1_0096	8.56
DAP1_0101	9.72
DAP1_0102	12.2
DAP1_0103	11.85
DAP1_0105	11.45
DAP1_0109	10.26
DAP1_0110	8.96
DAP1_0111	9.71
DAP1_0113	11.18
DAP1_0119	11.71
DAP1_0121	8.79
DAP1_0122	8.84
DAP1_0124	13.44
DAP1_0125	11.92
DAP1_0130	11.6
DAP1_0140	9.94
DAP1_0147	10.47
DAP1_0152	12.62
DAP1_0153	8.51
DAP1_0154	13.51
DAP1_0162	10.24
DAP1_0171	12.23
DAP1_0172	14.08
DAP1_0174	13.28
DAP1_0178	8.24
DAP1_0182	11.19
DAP1_0185	13.35
DAP1_0186	10.4
DAP1_0205	12.7
DAP1_0206	11.2
DAP1_0208	11.28
DAP1_0209	10.69
DAP1_0210	9.23
DAP1_0213	8.64
DAP1_0215	8.56
DAP1_0220	13.21
DAP1_0223	9.76
DAP1_0230	9.6
DAP1_0233	12.96
DAP1_0234	11.92
DAP1_0240	11.08
DAP1_0247	12.33
DAP1_0256	13.18
DAP1_0261	11.57
DAP1_0263	8.27
DAP1_0265	11.18
DAP1_0269	10.61
DAP1_0270	11.86
DAP1_0273	12.04
DAP1_0285	13.01
DAP1_0296	11.85
DAP1_0300	10.85
DAP1_0312	13.47
DAP1_0315	8.58
DAP1_0331	13.19
DAP1_0341	12.1
DAP1_0361	12.66
DAP1_0368	11.77
DAP1_0377	11.8
DAP1_0398	13.8
DAP1_0401	12.34
DAP1_0403	9.26
DAP1_0427	11.07
DAP1_0430	11.21
DAP1_0433	8.08
DAP1_0437	11.81
DAP1_0442	11.71
DAP1_0453	11.76
DAP1_0460	8.38
DAP1_0480	11.68
DAP1_0482	9.06
DAP1_0509	12.52
DAP1_0515	9.61
DAP1_0542	7.86
DAP1_0559	8.89
DAP1_0581	10.74
DAP1_0585	10.43
DAP1_0587	12.17
DAP1_0594	13.35
DAP1_0601	8.16
DAP1_0605	12.79
DAP1_0606	10.91
DAP1_0607	8.81
DAP1_0609	14.33
DAP1_0614	8.26
DAP1_0619	12.5
DAP1_0620	13.74
DAP1_0623	10.15
DAP1_0629	14.08
DAP1_0630	10.45
DAP1_0631	11.42
DAP1_0634	11.82
DAP1_0636	13.56
DAP1_0648	9.32
DAP1_0649	13.11
DAP1_0651	11.95
DAP1_0654	11.43
DAP1_0656	13.31
DAP1_0657	13.8
DAP1_0671	12.26
DAP1_0674	9.62
DAP1_0678	13.02
DAP1_0682	12.73
DAP1_0691	11.35
DAP1_0692	10.5
DAP1_0696	10.66
DAP1_0697	11.51
DAP1_0700	13.6
DAP1_0715	12.51
DAP1_0717	9.89
DAP1_0718	8.94
DAP1_0720	8.82
DAP1_0721	12.04
DAP1_0724	10.17
DAP1_0731	10.68
DAP1_0732	11.06
DAP1_0740	11.16
DAP1_0742	11.24
DAP1_0743	12.1
DAP1_0744	12.48
DAP1_0745	9.71
DAP1_0747	9.38
DAP1_0751	9.68
DAP1_0752	12.67
DAP1_0753	11.3
DAP1_0754	11.04
DAP1_0756	9.07
DAP1_0758	14.31
DAP1_0759	9.21
DAP1_0764	11.95
DAP1_0775	10.69
DAP1_0778	9.15
DAP1_0780	9.65
DAP1_0781	12.03
DAP1_0791	12.33
DAP1_0799	11.59
DAP1_0800	12.31
DAP1_0805	12.25
DAP1_0807	9.79
DAP1_0813	10.18
DAP1_0814	11.97
DAP1_0815	9.87
DAP1_0820	11.61
DAP1_0822	13.25
DAP1_0839	10.99
DAP1_0840	13.45
DAP1_0844	11.3
DAP1_0859	10.5
DAP1_0861	11.04
DAP1_0864	12
DAP1_0881	10.82
DAP1_0884	9.76
DAP1_0885	8.54
DAP1_0887	9.92
DAP1_0889	10.03
DAP1_0890	12.35
DAP1_0891	11.69
DAP1_0895	9.52
DAP1_0897	10.5
DAP1_0901	10.42
DAP1_0905	10.13
DAP1_0913	12.09
DAP1_0915	10.82
DAP1_0917	8.61
DAP1_0920	12.17
DAP1_0925	12.69
DAP1_0926	8.29
DAP1_0929	11.52
DAP1_0931	10.41
DAP1_0933	10.47
DAP1_0935	8.96
DAP1_0936	12.81
DAP1_0940	13.49
DAP1_0942	11.69
DAP1_0943	11.56
DAP1_0944	10.8
DAP1_0946	13.33
DAP1_0949	12.56
DAP1_0950	10.4
DAP1_0951	13.71
DAP1_0952	12.92
DAP1_0958	11.22
DAP1_0960	9.92
DAP1_0961	10.58
DAP1_0963	12.12
DAP1_0969	9.27
DAP1_0971	9.94
DAP1_0973	12.66
DAP1_0974	8.31
DAP1_0976	12.19
DAP1_0977	9.45
DAP1_0978	8.96
DAP1_0979	12.54
DAP1_0984	11.54
DAP1_0987	9.34
