Reporter Identifier	VALUE
DAP1_0003	10.84
DAP1_0010	12.62
DAP1_0021	8.88
DAP1_0023	9.58
DAP1_0027	11.05
DAP1_0028	8.55
DAP1_0030	12.56
DAP1_0031	13.01
DAP1_0033	9.55
DAP1_0036	10.25
DAP1_0038	12.25
DAP1_0040	12.73
DAP1_0041	9.68
DAP1_0042	9.37
DAP1_0050	12.71
DAP1_0051	9.72
DAP1_0054	11.97
DAP1_0056	12.26
DAP1_0061	10.12
DAP1_0062	12.65
DAP1_0063	10.26
DAP1_0066	9.14
DAP1_0067	12.63
DAP1_0069	8.95
DAP1_0070	9.47
DAP1_0074	12.06
DAP1_0075	10.86
DAP1_0080	8.43
DAP1_0087	10.11
DAP1_0096	8.71
DAP1_0101	8.6
DAP1_0102	12.23
DAP1_0103	12.61
DAP1_0105	8.21
DAP1_0109	11.8
DAP1_0110	8.13
DAP1_0111	11.32
DAP1_0113	9.65
DAP1_0119	12.19
DAP1_0121	8.92
DAP1_0122	9.52
DAP1_0124	13.68
DAP1_0125	11.88
DAP1_0130	9.53
DAP1_0140	9.15
DAP1_0147	10.87
DAP1_0152	12.91
DAP1_0153	8.64
DAP1_0154	13.4
DAP1_0162	11.73
DAP1_0171	12.68
DAP1_0172	12.15
DAP1_0174	12.98
DAP1_0178	10.28
DAP1_0182	11.96
DAP1_0185	13.36
DAP1_0186	11.01
DAP1_0205	12.86
DAP1_0206	10.77
DAP1_0208	9.08
DAP1_0209	12.71
DAP1_0210	9.59
DAP1_0213	8.15
DAP1_0215	8.89
DAP1_0220	13.3
DAP1_0223	11.43
DAP1_0230	8.99
DAP1_0233	12.86
DAP1_0234	10.79
DAP1_0240	11.18
DAP1_0247	12.07
DAP1_0256	12.95
DAP1_0261	9.22
DAP1_0263	11.93
DAP1_0265	11.64
DAP1_0269	10.18
DAP1_0270	10.64
DAP1_0273	11.63
DAP1_0285	12.75
DAP1_0296	12.62
DAP1_0300	10.06
DAP1_0312	13.36
DAP1_0315	9.61
DAP1_0331	13.37
DAP1_0341	12.23
DAP1_0361	12.59
DAP1_0368	11.71
DAP1_0377	13.63
DAP1_0398	12.76
DAP1_0401	12.62
DAP1_0403	10.98
DAP1_0427	11.46
DAP1_0430	11.7
DAP1_0433	8.14
DAP1_0437	11.08
DAP1_0442	8.91
DAP1_0453	12.59
DAP1_0460	8.02
DAP1_0480	11.84
DAP1_0482	10.81
DAP1_0509	12.42
DAP1_0515	8.08
DAP1_0542	10.2
DAP1_0559	11.1
DAP1_0581	12.17
DAP1_0585	11.17
DAP1_0587	12.44
DAP1_0594	13.5
DAP1_0601	7.98
DAP1_0605	12.71
DAP1_0606	10.86
DAP1_0607	9.58
DAP1_0609	14.28
DAP1_0614	8.39
DAP1_0619	12.63
DAP1_0620	13.28
DAP1_0623	9.3
DAP1_0629	13.82
DAP1_0630	10.71
DAP1_0631	11.59
DAP1_0634	10.58
DAP1_0636	12.94
DAP1_0648	8.19
DAP1_0649	13.78
DAP1_0651	12.09
DAP1_0654	11.82
DAP1_0656	11.85
DAP1_0657	12.75
DAP1_0671	11.8
DAP1_0674	10.62
DAP1_0678	13.35
DAP1_0682	13.28
DAP1_0691	11.4
DAP1_0692	10.18
DAP1_0696	7.92
DAP1_0697	12.65
DAP1_0700	13
DAP1_0715	11.74
DAP1_0717	8.84
DAP1_0718	9.66
DAP1_0720	9.52
DAP1_0721	11.64
DAP1_0724	8.26
DAP1_0731	11.39
DAP1_0732	11.78
DAP1_0740	11.03
DAP1_0742	12.04
DAP1_0743	11.89
DAP1_0744	12.56
DAP1_0745	8.04
DAP1_0747	9.88
DAP1_0751	12.6
DAP1_0752	11.77
DAP1_0753	8.58
DAP1_0754	10.98
DAP1_0756	8.6
DAP1_0758	14.22
DAP1_0759	12.29
DAP1_0764	12.06
DAP1_0775	11.41
DAP1_0778	9.92
DAP1_0780	10.75
DAP1_0781	12.18
DAP1_0791	10.16
DAP1_0799	11.9
DAP1_0800	12.17
DAP1_0805	11.82
DAP1_0807	8.26
DAP1_0813	10.2
DAP1_0814	12.01
DAP1_0815	8.27
DAP1_0820	11.05
DAP1_0822	13.42
DAP1_0839	9.62
DAP1_0840	13.33
DAP1_0844	12.3
DAP1_0859	11.24
DAP1_0861	11.53
