Reporter Identifier	VALUE
DAP1_0003	12.13
DAP1_0010	12.74
DAP1_0021	10.19
DAP1_0023	8.93
DAP1_0027	10.14
DAP1_0028	8.6
DAP1_0030	12
DAP1_0031	12.98
DAP1_0033	9.71
DAP1_0036	9.87
DAP1_0038	9.46
DAP1_0040	13.13
DAP1_0041	10.14
DAP1_0042	8.65
DAP1_0050	12.9
DAP1_0051	8.03
DAP1_0054	11.67
DAP1_0056	11.73
DAP1_0061	9.31
DAP1_0062	9.57
DAP1_0063	10.73
DAP1_0066	11.43
DAP1_0067	12.86
DAP1_0069	10.03
DAP1_0070	12.63
DAP1_0074	10.99
DAP1_0075	8.62
DAP1_0080	8.48
DAP1_0087	9.4
DAP1_0096	10.55
DAP1_0101	8.26
DAP1_0102	10.9
DAP1_0103	12.46
DAP1_0105	10
DAP1_0109	11.47
DAP1_0110	8.83
DAP1_0111	11.37
DAP1_0113	11.79
DAP1_0119	8.12
DAP1_0121	9
DAP1_0122	8.71
DAP1_0124	13.82
DAP1_0125	9.2
DAP1_0130	9.12
DAP1_0140	8.72
DAP1_0147	10.83
DAP1_0152	12.98
DAP1_0153	9.68
DAP1_0154	13.67
DAP1_0162	11.53
DAP1_0171	11.97
DAP1_0172	12.79
DAP1_0174	13.74
DAP1_0178	8.63
DAP1_0182	12.5
DAP1_0185	10.87
DAP1_0186	11.07
DAP1_0205	13.48
DAP1_0206	10.98
DAP1_0208	8.81
DAP1_0209	10.84
DAP1_0210	9.1
DAP1_0213	9
DAP1_0215	8.62
DAP1_0220	13.61
DAP1_0223	12.08
DAP1_0230	8.08
DAP1_0233	13.24
DAP1_0234	12.69
DAP1_0240	11
DAP1_0247	11.8
DAP1_0256	13.3
DAP1_0261	11.94
DAP1_0263	10.05
DAP1_0265	12.03
DAP1_0269	9.85
DAP1_0270	11.89
DAP1_0273	11.82
DAP1_0285	12.01
DAP1_0296	8.83
DAP1_0300	11.56
DAP1_0312	12.91
DAP1_0315	9.04
DAP1_0331	13.41
DAP1_0341	10
DAP1_0361	12.79
DAP1_0368	12.75
DAP1_0377	11.66
DAP1_0398	13.77
DAP1_0401	12.57
DAP1_0403	10.86
DAP1_0427	12.13
DAP1_0430	10.98
DAP1_0433	9.48
DAP1_0437	12.01
DAP1_0442	9.84
DAP1_0453	13.04
DAP1_0460	8.35
DAP1_0480	12.35
DAP1_0482	10.41
DAP1_0509	12.92
DAP1_0515	10.14
DAP1_0542	8.08
DAP1_0559	9.75
DAP1_0581	11.45
DAP1_0585	10.3
DAP1_0587	8.58
DAP1_0594	13.3
DAP1_0601	8.56
DAP1_0605	12.68
DAP1_0606	8.49
DAP1_0607	9.9
DAP1_0609	14.1
DAP1_0614	8.17
DAP1_0619	10.52
DAP1_0620	13.44
DAP1_0623	12.24
DAP1_0629	14.29
DAP1_0630	10.08
DAP1_0631	11.24
DAP1_0634	12.49
DAP1_0636	13
DAP1_0648	7.97
DAP1_0649	13.01
DAP1_0651	11.65
DAP1_0654	10.84
DAP1_0656	13.49
DAP1_0657	12.22
DAP1_0671	11.34
DAP1_0674	8.97
DAP1_0678	10.19
DAP1_0682	13.32
DAP1_0691	9.78
DAP1_0692	10.66
DAP1_0696	7.95
DAP1_0697	9.17
DAP1_0700	13.4
DAP1_0715	10.85
DAP1_0717	10.17
DAP1_0718	9.16
DAP1_0720	8.97
DAP1_0721	13.16
DAP1_0724	10.24
DAP1_0731	10.35
DAP1_0732	10.13
DAP1_0740	9.64
DAP1_0742	10.57
DAP1_0743	12.05
DAP1_0744	12.86
DAP1_0745	9.48
DAP1_0747	9.07
DAP1_0751	11.52
DAP1_0752	11.61
DAP1_0753	10.37
DAP1_0754	11.57
DAP1_0756	8.52
DAP1_0758	13.88
DAP1_0759	8
DAP1_0764	11.17
DAP1_0775	11.22
DAP1_0778	9.83
DAP1_0780	10.15
DAP1_0781	12.59
DAP1_0791	10.78
DAP1_0799	10.93
DAP1_0800	12.69
DAP1_0805	12.21
DAP1_0807	10.21
DAP1_0813	11.58
DAP1_0814	12.71
DAP1_0815	9.51
DAP1_0820	11.51
DAP1_0822	12.91
DAP1_0839	10.15
DAP1_0840	13.39
DAP1_0844	12.21
DAP1_0859	11.6
DAP1_0861	10.03
DAP1_0864	11.67
DAP1_0881	11.06
DAP1_0884	11.48
DAP1_0885	8.08
DAP1_0887	11.31
DAP1_0889	8.12
DAP1_0890	12.6
DAP1_0891	11.8
DAP1_0895	11.49
DAP1_0897	11.18
DAP1_0901	12.13
DAP1_0905	10.42
DAP1_0913	11.67
DAP1_0915	9.99
DAP1_0917	8.71
DAP1_0920	12.54
DAP1_0925	12.11
DAP1_0926	8.49
DAP1_0929	12.5
DAP1_0931	10.46
DAP1_0933	9.74
DAP1_0935	8.65
DAP1_0936	12.77
DAP1_0940	14.16
DAP1_0942	11.31
DAP1_0943	10.64
DAP1_0944	11.2
DAP1_0946	13
DAP1_0949	9.99
DAP1_0950	11.56
DAP1_0951	13.54
DAP1_0952	13
DAP1_0958	11.62
DAP1_0960	10.51
DAP1_0961	9.8
DAP1_0963	11.74
DAP1_0969	9.22
DAP1_0971	9.55
DAP1_0973	12.4
DAP1_0974	11.74
DAP1_0976	12.17
DAP1_0977	10.44
DAP1_0978	9
DAP1_0979	12.47
DAP1_0984	11.59
DAP1_0987	9.47
DAP1_0989	13.18
DAP1_0991	7.92
DAP1_0992	12.37
DAP1_1000	8.34
DAP1_1001	8.99
DAP1_1002	12.26
DAP1_1006	10.4
DAP1_1009	11.66
DAP1_1011	12.14
DAP1_1015	11.34
DAP1_1020	12.31
DAP1_1022	11.92
DAP1_1024	12.38
DAP1_1030	10.77
DAP1_1032	9.65
DAP1_1037	12.69
DAP1_1039	12.46
DAP1_1040	9.5
DAP1_1041	11.99
DAP1_1042	8.45
DAP1_1044	10.52
DAP1_1046	10.73
DAP1_1047	9.91
DAP1_1051	12.52
DAP1_1055	12.73
DAP1_1060	8.05
DAP1_1063	8.71
DAP1_1066	14.17
DAP1_1071	8.23
DAP1_1072	8.54
DAP1_1077	11.69
DAP1_1078	10.58
DAP1_1079	14.03
DAP1_1080	8.75
DAP1_1085	11.86
DAP1_1086	10.33
DAP1_1087	12.22
DAP1_1088	12.61
DAP1_1093	13.87
DAP1_1097	9.94
