Reporter Identifier	VALUE
DAP1_0003	12.3
DAP1_0010	11.42
DAP1_0021	8.4
DAP1_0023	9.45
DAP1_0027	11.14
DAP1_0028	9.62
DAP1_0030	11.96
DAP1_0031	12.7
DAP1_0033	9.28
DAP1_0036	9.87
DAP1_0038	9.47
DAP1_0040	13.44
DAP1_0041	9.45
DAP1_0042	9.77
DAP1_0050	13.3
DAP1_0051	10.8
DAP1_0054	10.15
DAP1_0056	10.88
DAP1_0061	9.57
DAP1_0062	8.74
DAP1_0063	12.09
DAP1_0066	11.98
DAP1_0067	12.83
DAP1_0069	10.11
DAP1_0070	12.41
DAP1_0074	10.98
DAP1_0075	9.7
DAP1_0080	8.4
DAP1_0087	9.86
DAP1_0096	10.77
DAP1_0101	8.71
DAP1_0102	12.04
DAP1_0103	12.23
DAP1_0105	8.55
DAP1_0109	10.7
DAP1_0110	8.02
DAP1_0111	9.66
DAP1_0113	12.26
DAP1_0119	7.99
DAP1_0121	8.89
DAP1_0122	10.65
DAP1_0124	13.47
DAP1_0125	9.43
DAP1_0130	10.29
DAP1_0140	11.97
DAP1_0147	11.21
DAP1_0152	13.18
DAP1_0153	8.25
DAP1_0154	13.65
DAP1_0162	11.6
DAP1_0171	10.51
DAP1_0172	13.81
DAP1_0174	13.16
DAP1_0178	8.07
DAP1_0182	11.42
DAP1_0185	11.51
DAP1_0186	8.2
DAP1_0205	13.12
DAP1_0206	9.48
DAP1_0208	10.66
DAP1_0209	12.52
DAP1_0210	10.89
DAP1_0213	9.54
DAP1_0215	8.64
DAP1_0220	13.37
DAP1_0223	11.8
DAP1_0230	8.84
DAP1_0233	12.67
DAP1_0234	12.25
DAP1_0240	10.25
DAP1_0247	12.52
DAP1_0256	13.28
DAP1_0261	12.28
DAP1_0263	11.1
DAP1_0265	11.25
DAP1_0269	9.38
DAP1_0270	11.05
DAP1_0273	13.18
DAP1_0285	13.24
DAP1_0296	9.8
DAP1_0300	10.71
DAP1_0312	13.67
DAP1_0315	10.18
DAP1_0331	12.83
DAP1_0341	11.75
DAP1_0361	12.62
DAP1_0368	12.43
DAP1_0377	12.7
DAP1_0398	13.47
DAP1_0401	12.63
DAP1_0403	10.88
DAP1_0427	11.51
DAP1_0430	10.48
DAP1_0433	8.05
DAP1_0437	10.85
DAP1_0442	10.1
DAP1_0453	12.71
DAP1_0460	8.32
DAP1_0480	12.46
DAP1_0482	10.24
DAP1_0509	13.06
DAP1_0515	8.24
DAP1_0542	8.22
DAP1_0559	9.18
DAP1_0581	10.21
DAP1_0585	11.56
DAP1_0587	8.59
DAP1_0594	13.67
DAP1_0601	8.02
DAP1_0605	10.7
DAP1_0606	8.35
DAP1_0607	10.1
DAP1_0609	14.5
DAP1_0614	8.14
DAP1_0619	9.68
DAP1_0620	12.65
DAP1_0623	12.09
DAP1_0629	14.27
DAP1_0630	9.29
DAP1_0631	12.15
DAP1_0634	11.56
DAP1_0636	13.23
DAP1_0648	10.1
DAP1_0649	13.4
DAP1_0651	12.58
DAP1_0654	11.94
DAP1_0656	13.43
DAP1_0657	13.46
DAP1_0671	12.39
DAP1_0674	9.74
DAP1_0678	10.34
DAP1_0682	13.04
DAP1_0691	9.57
DAP1_0692	10.28
DAP1_0696	8.28
DAP1_0697	10.29
DAP1_0700	13.81
DAP1_0715	10.97
DAP1_0717	9.93
DAP1_0718	9.42
DAP1_0720	9.2
DAP1_0721	12.67
DAP1_0724	10.9
DAP1_0731	8.87
DAP1_0732	11.92
DAP1_0740	11.59
DAP1_0742	12.24
DAP1_0743	12.56
DAP1_0744	12.5
DAP1_0745	9.97
DAP1_0747	9.72
DAP1_0751	10.82
DAP1_0752	12.98
DAP1_0753	11.08
DAP1_0754	11.85
DAP1_0756	8.34
DAP1_0758	14.37
DAP1_0759	10.53
DAP1_0764	12.78
DAP1_0775	11
DAP1_0778	10.14
DAP1_0780	11.2
DAP1_0781	11.68
DAP1_0791	8.2
DAP1_0799	11.49
DAP1_0800	12.48
DAP1_0805	12.14
DAP1_0807	8.07
DAP1_0813	11.78
DAP1_0814	12.36
DAP1_0815	9.69
DAP1_0820	11.07
DAP1_0822	13.33
DAP1_0839	9.41
DAP1_0840	13.36
DAP1_0844	12.55
DAP1_0859	10.55
DAP1_0861	10.48
DAP1_0864	12.11
DAP1_0881	8.32
DAP1_0884	9.02
DAP1_0885	8.12
DAP1_0887	11.76
DAP1_0889	8.11
DAP1_0890	12.47
DAP1_0891	11.98
DAP1_0895	10.73
DAP1_0897	9.48
DAP1_0901	10.78
DAP1_0905	10.34
DAP1_0913	10.28
DAP1_0915	10.18
DAP1_0917	8.76
DAP1_0920	12.97
DAP1_0925	12.29
DAP1_0926	8.1
DAP1_0929	11.96
DAP1_0931	10.8
DAP1_0933	11.15
DAP1_0935	8.38
DAP1_0936	12.65
DAP1_0940	14.02
DAP1_0942	10.45
DAP1_0943	11.32
DAP1_0944	11.75
DAP1_0946	12.66
DAP1_0949	11.52
DAP1_0950	11.34
DAP1_0951	13.62
DAP1_0952	13.44
DAP1_0958	10.32
DAP1_0960	10.34
DAP1_0961	10.52
DAP1_0963	12.58
DAP1_0969	9.54
DAP1_0971	9.95
DAP1_0973	12.69
DAP1_0974	11.23
DAP1_0976	12.63
DAP1_0977	10.58
DAP1_0978	10.52
DAP1_0979	12.86
DAP1_0984	11.86
DAP1_0987	9.58
DAP1_0989	13.25
DAP1_0991	11.14
DAP1_0992	13.01
DAP1_1000	9.47
DAP1_1001	9.33
DAP1_1002	12.28
DAP1_1006	9.32
DAP1_1009	11.76
DAP1_1011	12.41
DAP1_1015	11.1
DAP1_1020	13.67
DAP1_1022	12.97
DAP1_1024	12.16
DAP1_1030	10.08
DAP1_1032	9.59
DAP1_1037	11.26
DAP1_1039	12.07
DAP1_1040	11.03
DAP1_1041	10.71
DAP1_1042	8.94
DAP1_1044	11.72
DAP1_1046	11.59
DAP1_1047	9.33
DAP1_1051	10.06
DAP1_1055	12.01
DAP1_1060	8.42
DAP1_1063	9.06
DAP1_1066	13.95
DAP1_1071	10.45
DAP1_1072	8.65
DAP1_1077	11.94
DAP1_1078	11.24
DAP1_1079	14.04
