Reporter Identifier	VALUE
DAP1_0003	11.93
DAP1_0010	12.15
DAP1_0021	9.44
DAP1_0023	8.93
DAP1_0027	10.93
DAP1_0028	9.95
DAP1_0030	12.1
DAP1_0031	12.04
DAP1_0033	9.28
DAP1_0036	9.91
DAP1_0038	9.73
DAP1_0040	13.4
DAP1_0041	9.07
DAP1_0042	10.11
DAP1_0050	12.76
DAP1_0051	8.87
DAP1_0054	10.62
DAP1_0056	11.56
DAP1_0061	10.04
DAP1_0062	9.9
DAP1_0063	12.03
DAP1_0066	12.15
DAP1_0067	12.64
DAP1_0069	10.73
DAP1_0070	11.7
DAP1_0074	10.12
DAP1_0075	9.33
DAP1_0080	8.32
DAP1_0087	9.63
DAP1_0096	8.02
DAP1_0101	9.59
DAP1_0102	11.71
DAP1_0103	12.41
DAP1_0105	9.43
DAP1_0109	10.32
DAP1_0110	8.08
DAP1_0111	10.73
DAP1_0113	12.19
DAP1_0119	7.96
DAP1_0121	8.68
DAP1_0122	10.07
DAP1_0124	13.21
DAP1_0125	9.17
DAP1_0130	9.31
DAP1_0140	10.53
DAP1_0147	11.03
DAP1_0152	12.96
DAP1_0153	8.37
DAP1_0154	13.43
DAP1_0162	11.53
DAP1_0171	11.27
DAP1_0172	13.92
DAP1_0174	13.41
DAP1_0178	8.97
DAP1_0182	11.17
DAP1_0185	11.89
DAP1_0186	10.15
DAP1_0205	13.48
DAP1_0206	10.99
DAP1_0208	10.23
DAP1_0209	11.46
DAP1_0210	9.21
DAP1_0213	8.58
DAP1_0215	8.39
DAP1_0220	13.83
DAP1_0223	11.02
DAP1_0230	8.5
DAP1_0233	13.23
DAP1_0234	12.67
DAP1_0240	11.11
DAP1_0247	11.8
DAP1_0256	13.15
DAP1_0261	12.14
DAP1_0263	9.14
DAP1_0265	11.57
DAP1_0269	10.47
DAP1_0270	11.87
DAP1_0273	12.99
DAP1_0285	12.87
DAP1_0296	9.32
DAP1_0300	11.84
DAP1_0312	12.79
DAP1_0315	9.58
DAP1_0331	12.71
DAP1_0341	9.47
DAP1_0361	12.6
DAP1_0368	12.82
DAP1_0377	12.72
DAP1_0398	13.66
DAP1_0401	12.9
DAP1_0403	10.47
DAP1_0427	11.96
DAP1_0430	9.75
DAP1_0433	8.28
DAP1_0437	11.54
DAP1_0442	10.45
DAP1_0453	12.58
DAP1_0460	8.62
DAP1_0480	11.5
DAP1_0482	9.96
DAP1_0509	12.88
DAP1_0515	10.13
DAP1_0542	9
DAP1_0559	8.75
DAP1_0581	10.56
DAP1_0585	10.75
DAP1_0587	9.48
DAP1_0594	13.38
DAP1_0601	9.36
DAP1_0605	11.78
DAP1_0606	10.63
DAP1_0607	9.13
DAP1_0609	14.22
DAP1_0614	8.19
DAP1_0619	9.99
DAP1_0620	12.73
DAP1_0623	9.48
DAP1_0629	14.16
DAP1_0630	8.83
DAP1_0631	11.57
DAP1_0634	12.03
DAP1_0636	13.06
DAP1_0648	9.96
DAP1_0649	13.29
DAP1_0651	12.15
DAP1_0654	9.45
DAP1_0656	13.35
DAP1_0657	13.53
DAP1_0671	11.14
DAP1_0674	8.76
DAP1_0678	12.23
DAP1_0682	13.14
DAP1_0691	9.59
DAP1_0692	10.19
DAP1_0696	8.88
DAP1_0697	12.45
DAP1_0700	13.84
DAP1_0715	10.77
DAP1_0717	10.15
DAP1_0718	9.28
DAP1_0720	8.64
DAP1_0721	12.5
DAP1_0724	10.5
DAP1_0731	10.46
DAP1_0732	10.01
DAP1_0740	11.05
DAP1_0742	10.53
DAP1_0743	12.57
DAP1_0744	12.99
DAP1_0745	10.21
DAP1_0747	8.97
DAP1_0751	11.7
DAP1_0752	12.73
DAP1_0753	9.66
DAP1_0754	11.92
DAP1_0756	8.5
DAP1_0758	14.17
DAP1_0759	8.84
DAP1_0764	12.28
DAP1_0775	11.55
DAP1_0778	8.93
DAP1_0780	10.04
DAP1_0781	11.74
DAP1_0791	8.94
DAP1_0799	11.61
DAP1_0800	12.68
DAP1_0805	12.32
DAP1_0807	10.42
DAP1_0813	11.42
DAP1_0814	12
DAP1_0815	9.6
DAP1_0820	11.52
DAP1_0822	13.38
DAP1_0839	9.13
DAP1_0840	13.54
DAP1_0844	10.96
DAP1_0859	11.37
DAP1_0861	10.5
DAP1_0864	11.55
DAP1_0881	8.43
DAP1_0884	11.41
DAP1_0885	8.85
DAP1_0887	10.91
DAP1_0889	9.71
DAP1_0890	12.55
DAP1_0891	11.53
DAP1_0895	10.33
DAP1_0897	10.89
DAP1_0901	11.25
DAP1_0905	10.74
DAP1_0913	11.63
DAP1_0915	10.19
DAP1_0917	8.17
DAP1_0920	12.64
DAP1_0925	13.05
DAP1_0926	8.06
DAP1_0929	12.68
DAP1_0931	11.1
DAP1_0933	11.54
DAP1_0935	8.25
DAP1_0936	12.43
DAP1_0940	14.19
DAP1_0942	10.78
DAP1_0943	11.68
DAP1_0944	11.04
DAP1_0946	12.6
DAP1_0949	12.29
DAP1_0950	10.88
DAP1_0951	13.46
DAP1_0952	13.31
DAP1_0958	10.87
DAP1_0960	10.04
DAP1_0961	9.4
DAP1_0963	12.08
DAP1_0969	9.24
DAP1_0971	9.54
DAP1_0973	12.47
DAP1_0974	11.12
DAP1_0976	12.73
DAP1_0977	11.17
DAP1_0978	8.85
DAP1_0979	12.6
DAP1_0984	11.41
DAP1_0987	9.57
DAP1_0989	13.21
DAP1_0991	7.98
DAP1_0992	12.76
DAP1_1000	8.28
DAP1_1001	8.6
DAP1_1002	12.25
DAP1_1006	10.19
DAP1_1009	11.94
DAP1_1011	12.8
DAP1_1015	11.43
DAP1_1020	13.56
DAP1_1022	12.95
DAP1_1024	12.57
DAP1_1030	9.61
DAP1_1032	9.52
DAP1_1037	12.08
DAP1_1039	11.48
DAP1_1040	10.41
DAP1_1041	12
DAP1_1042	10.45
DAP1_1044	10.79
DAP1_1046	11.1
DAP1_1047	9.36
DAP1_1051	12.38
DAP1_1055	12.37
DAP1_1060	8
DAP1_1063	10.63
DAP1_1066	13.89
DAP1_1071	9.39
DAP1_1072	8.33
DAP1_1077	10.93
DAP1_1078	10.8
DAP1_1079	13.91
DAP1_1080	8.58
DAP1_1085	11.5
DAP1_1086	9.79
DAP1_1087	11.58
DAP1_1088	12.09
DAP1_1093	13.65
DAP1_1097	9.82
DAP1_1098	9.92
DAP1_1099	10.72
DAP1_1102	11.53
DAP1_1104	12.84
DAP1_1105	10.83
DAP1_1109	12.55
DAP1_1110	9.53
DAP1_1111	13.22
DAP1_1124	11.94
DAP1_1125	9.91
DAP1_1138	9.55
DAP1_1145	10.34
DAP1_1151	11.23
DAP1_1164	11.67
DAP1_1170	12.5
DAP1_1171	8.68
DAP1_1173	8.22
DAP1_1178	10.45
DAP1_1182	8.06
DAP1_1190	10.81
DAP1_1191	10.71
DAP1_1203	11.28
DAP1_1219	12.03
DAP1_1222	8.27
DAP1_1225	9.51
DAP1_1227	10.78
DAP1_1228	13.88
