Reporter Identifier	VALUE
DAP1_0003	11.52
DAP1_0010	12.59
DAP1_0021	8.97
DAP1_0023	9.17
DAP1_0027	10.76
DAP1_0028	8.8
DAP1_0030	11.56
DAP1_0031	12.69
DAP1_0033	10.9
DAP1_0036	8.82
DAP1_0038	9.63
DAP1_0040	13.65
DAP1_0041	8.77
DAP1_0042	8.98
DAP1_0050	12.66
DAP1_0051	8.83
DAP1_0054	11.28
DAP1_0056	12.19
DAP1_0061	10.35
DAP1_0062	8.63
DAP1_0063	12.26
DAP1_0066	11.7
DAP1_0067	12.81
DAP1_0069	9.94
DAP1_0070	11.87
DAP1_0074	10.41
DAP1_0075	10.53
DAP1_0080	8.21
DAP1_0087	9.64
DAP1_0096	8.26
DAP1_0101	8.57
DAP1_0102	11.83
DAP1_0103	12.54
DAP1_0105	9.91
DAP1_0109	10.47
DAP1_0110	8.91
DAP1_0111	10.63
DAP1_0113	12.7
DAP1_0119	8.29
DAP1_0121	8.4
DAP1_0122	8.93
DAP1_0124	13.17
DAP1_0125	8.54
DAP1_0130	10.49
DAP1_0140	11.22
DAP1_0147	10.91
DAP1_0152	12.83
DAP1_0153	9.01
DAP1_0154	13.91
DAP1_0162	11.98
DAP1_0171	10.46
DAP1_0172	13.93
DAP1_0174	13.5
DAP1_0178	8.86
DAP1_0182	11.82
DAP1_0185	10.42
DAP1_0186	10.7
DAP1_0205	13.3
DAP1_0206	11.06
DAP1_0208	9.97
DAP1_0209	11.5
DAP1_0210	8.98
DAP1_0213	8.76
DAP1_0215	8.22
DAP1_0220	13.61
DAP1_0223	10.22
DAP1_0230	8.33
DAP1_0233	11.07
DAP1_0234	12.14
DAP1_0240	10.83
DAP1_0247	12.29
DAP1_0256	13.27
DAP1_0261	11.93
DAP1_0263	10.02
DAP1_0265	11.08
DAP1_0269	10.55
DAP1_0270	12.05
DAP1_0273	12.71
DAP1_0285	12.41
DAP1_0296	8.34
DAP1_0300	10.87
DAP1_0312	13.19
DAP1_0315	10.48
DAP1_0331	12.82
DAP1_0341	11.18
DAP1_0361	12.82
DAP1_0368	12.66
DAP1_0377	12.82
DAP1_0398	13.51
DAP1_0401	12.76
DAP1_0403	9.91
DAP1_0427	12.03
DAP1_0430	8.79
DAP1_0433	7.99
DAP1_0437	11.06
DAP1_0442	12.69
DAP1_0453	12.16
DAP1_0460	8.19
DAP1_0480	11.73
DAP1_0482	10.05
DAP1_0509	12.62
DAP1_0515	9.71
DAP1_0542	8.39
DAP1_0559	8.35
DAP1_0581	10.61
DAP1_0585	10.62
DAP1_0587	8.76
DAP1_0594	13.51
DAP1_0601	9.79
DAP1_0605	10.87
DAP1_0606	10.7
DAP1_0607	9.6
DAP1_0609	14.34
DAP1_0614	8.8
DAP1_0619	10.43
DAP1_0620	12.98
DAP1_0623	10.19
DAP1_0629	14.2
DAP1_0630	10.29
DAP1_0631	11.09
DAP1_0634	11.21
DAP1_0636	12.32
DAP1_0648	9.71
DAP1_0649	12.22
DAP1_0651	12.12
DAP1_0654	11.57
DAP1_0656	12.96
DAP1_0657	13.8
DAP1_0671	11.34
DAP1_0674	9.91
DAP1_0678	12.02
DAP1_0682	13.23
DAP1_0691	8.94
DAP1_0692	9.12
DAP1_0696	9.31
DAP1_0697	10.74
DAP1_0700	14.05
DAP1_0715	11.23
DAP1_0717	9.39
DAP1_0718	9.46
DAP1_0720	8.3
DAP1_0721	12.37
DAP1_0724	10.21
DAP1_0731	10.19
DAP1_0732	11.83
