Reporter Identifier	VALUE
DAP1_0003	12.26
DAP1_0010	12.18
DAP1_0021	9.5
DAP1_0023	9.03
DAP1_0027	10.38
DAP1_0028	8.17
DAP1_0030	12.26
DAP1_0031	12.58
DAP1_0033	8.98
DAP1_0036	9.68
DAP1_0038	11.77
DAP1_0040	13.25
DAP1_0041	10.42
DAP1_0042	8.57
DAP1_0050	13.13
DAP1_0051	8.94
DAP1_0054	11.6
DAP1_0056	11.1
DAP1_0061	9.9
DAP1_0062	13.46
DAP1_0063	10.45
DAP1_0066	12.34
DAP1_0067	12.31
DAP1_0069	9.83
DAP1_0070	11.19
DAP1_0074	11.07
DAP1_0075	9.98
DAP1_0080	8.09
DAP1_0087	9.51
DAP1_0096	10.51
DAP1_0101	8.69
DAP1_0102	12.51
DAP1_0103	12.06
DAP1_0105	8.6
DAP1_0109	11.52
DAP1_0110	7.94
DAP1_0111	10.99
DAP1_0113	12.46
DAP1_0119	11.32
DAP1_0121	8.64
DAP1_0122	8.6
DAP1_0124	13.35
DAP1_0125	12.29
DAP1_0130	9.12
DAP1_0140	8.6
DAP1_0147	10.17
DAP1_0152	12.84
DAP1_0153	9.61
DAP1_0154	13.88
DAP1_0162	11.42
DAP1_0171	12.99
DAP1_0172	13.5
DAP1_0174	13.33
DAP1_0178	8.36
DAP1_0182	12.33
DAP1_0185	13.39
DAP1_0186	8.71
DAP1_0205	13.26
DAP1_0206	11.03
DAP1_0208	10.58
DAP1_0209	10.33
DAP1_0210	9.01
DAP1_0213	8.22
DAP1_0215	8.21
DAP1_0220	13.83
DAP1_0223	10.42
DAP1_0230	8.28
DAP1_0233	12.75
DAP1_0234	11.91
DAP1_0240	11.44
DAP1_0247	11.68
DAP1_0256	13.12
DAP1_0261	10.41
DAP1_0263	10.97
DAP1_0265	10.76
DAP1_0269	9.16
DAP1_0270	11.18
DAP1_0273	12.92
DAP1_0285	11.98
DAP1_0296	12.58
DAP1_0300	10.91
DAP1_0312	12.98
DAP1_0315	9.09
DAP1_0331	13.92
DAP1_0341	11.23
DAP1_0361	12.55
DAP1_0368	12.62
DAP1_0377	12.33
DAP1_0398	13.19
DAP1_0401	12.51
DAP1_0403	10.4
