Reporter Identifier	VALUE
DAP1_1102	11.61
DAP1_1104	11.57
DAP1_1105	10.81
DAP1_1109	9.59
DAP1_1110	10.03
DAP1_1111	12.59
DAP1_1124	12.27
DAP1_1125	11.92
DAP1_1138	11.38
DAP1_1145	10.79
DAP1_1151	8.83
DAP1_1164	12.47
DAP1_1170	12.13
DAP1_1171	9.6
DAP1_1173	8.35
DAP1_1178	10.62
DAP1_1182	8.05
DAP1_1190	10.57
DAP1_1191	9.31
DAP1_1203	12.32
DAP1_1219	10.65
DAP1_1222	8.52
DAP1_1225	11.89
DAP1_1227	9.9
DAP1_1228	13.91
DAP1_1229	11.77
DAP1_1240	11.18
DAP1_1241	8.19
DAP1_1248	10.96
DAP1_1250	12.25
DAP1_1255	10.22
DAP1_1256	10.7
DAP1_1262	9.76
DAP1_1265	8
DAP1_1267	9.61
DAP1_1269	11.65
DAP1_1270	9.92
DAP1_1272	10.09
DAP1_1276	10.71
DAP1_1277	10.91
DAP1_1285	12.1
DAP1_1286	13.3
DAP1_1307	13.6
DAP1_1309	13.01
DAP1_1311	9.58
DAP1_1312	10.83
DAP1_1317	10.15
DAP1_1319	12.71
DAP1_1320	10.52
DAP1_1321	8.04
DAP1_1324	12.58
DAP1_1326	10.58
DAP1_1330	8.76
DAP1_1331	8.85
DAP1_1333	12.75
DAP1_1334	10.31
DAP1_1335	13.13
DAP1_1337	12.39
DAP1_1338	10.17
DAP1_1339	11.58
DAP1_1340	12.52
DAP1_1341	8.25
DAP1_1343	9.53
DAP1_1344	8.24
DAP1_1360	12.58
DAP1_1370	11.44
DAP1_1375	13.98
DAP1_1377	9.7
DAP1_1382	11.35
DAP1_1384	11.21
DAP1_1389	9.69
DAP1_1390	8.57
DAP1_1392	12.52
DAP1_1407	12.9
DAP1_1432	11.09
DAP1_1439	12.09
DAP1_1462	9.16
DAP1_1482	12.92
DAP1_1493	12.33
DAP1_1543	8.52
DAP1_1549	9.48
DAP1_1550	11.14
DAP1_1553	8.36
DAP1_1558	8.03
DAP1_1559	13.79
DAP1_1562	8.59
DAP1_1563	9.6
DAP1_1564	8.47
DAP1_1565	10.03
DAP1_1577	10.55
DAP1_1581	8.87
DAP1_1586	11.49
DAP1_1587	12.05
DAP1_1588	12.16
DAP1_1590	10.54
DAP1_1595	13.03
DAP1_1596	10.52
DAP1_1599	10.06
DAP1_1600	9.75
DAP1_1601	12.99
DAP1_1604	8.28
DAP1_1608	11.51
DAP1_1610	11.95
DAP1_1617	8
DAP1_1623	8.42
DAP1_1628	9.99
DAP1_1629	11.94
DAP1_1634	13.11
DAP1_1640	11.83
DAP1_1644	8.88
DAP1_1645	13.7
DAP1_1646	9.01
DAP1_1647	9.71
DAP1_1650	11.78
DAP1_1651	10.38
DAP1_1653	8.41
DAP1_1655	8.31
DAP1_1658	9.47
DAP1_1661	11.16
DAP1_1665	11.48
DAP1_1671	8.17
DAP1_1676	8
DAP1_1678	13.45
DAP1_1679	12.58
DAP1_1680	11.85
DAP1_1682	8.19
DAP1_1685	10.8
DAP1_1688	11.9
DAP1_1689	8.01
DAP1_1693	11.54
DAP1_1697	9.33
DAP1_1700	12
DAP1_1702	13.29
DAP1_1707	9.08
DAP1_1711	9.96
DAP1_1714	12.95
DAP1_1718	9.59
DAP1_1730	12.37
DAP1_1739	11.95
DAP1_1740	12.08
DAP1_1741	9.09
DAP1_1743	9.37
DAP1_1746	9.91
DAP1_1749	8.98
DAP1_1753	8.84
DAP1_1756	11.43
DAP1_1757	12.71
DAP1_1759	12.9
DAP1_1761	9.52
DAP1_1762	12
DAP1_1765	12.6
DAP1_1766	10.66
DAP1_1768	8.7
DAP1_1771	10.65
DAP1_1772	11.59
DAP1_1775	13.43
DAP1_1776	12.07
DAP1_1777	13.04
DAP1_1780	8.26
DAP1_1784	12.5
DAP1_1786	8.87
DAP1_1787	9.43
DAP1_1789	9.94
DAP1_1790	13.27
DAP1_1795	12.48
DAP1_1799	9.45
DAP1_1804	12.89
DAP1_1808	13.24
DAP1_1823	8.84
DAP1_1824	8.14
DAP1_1825	10.42
DAP1_1826	11.64
DAP1_1828	12.27
DAP1_1836	10.79
DAP1_1838	9.87
DAP1_1841	12.61
DAP1_1842	11.17
DAP1_1844	10.59
DAP1_1850	11.59
DAP1_1851	8.58
DAP1_1856	12.08
DAP1_1861	10.3
DAP1_1862	9.2
DAP1_1868	13.23
DAP1_1869	8.12
DAP1_1870	11.82
DAP1_1871	11.47
DAP1_1873	10.84
DAP1_1874	12
DAP1_1876	14.13
DAP1_1882	11.03
DAP1_1883	11.02
DAP1_1884	8.09
DAP1_1885	9.24
DAP1_1886	13.47
DAP1_1887	8.13
DAP1_1888	8.39
DAP1_1893	12.54
DAP1_1895	8.21
DAP1_1899	10.76
DAP1_1908	10.98
DAP1_1913	11.99
DAP1_1931	10.43
DAP1_1935	11.21
DAP1_1938	11.2
DAP1_1942	11.49
DAP1_1944	9.8
DAP1_1946	10.76
DAP1_1949	11.69
DAP1_1950	10.2
DAP1_1951	9.34
DAP1_1953	9.21
DAP1_1954	12.26
DAP1_1955	12.56
DAP1_1959	12.42
DAP1_1961	8.28
DAP1_1967	10.5
DAP1_1969	8.5
DAP1_1974	11.16
DAP1_1980	9.83
DAP1_1983	11.06
DAP1_1984	8.81
DAP1_1985	10.2
DAP1_1987	13.34
DAP1_1989	11.77
DAP1_1990	10.93
DAP1_1994	8.25
DAP1_1998	10.93
DAP1_2003	10.19
DAP1_2008	10.73
DAP1_2016	8.49
DAP1_2017	13.57
DAP1_2019	10.53
DAP1_2021	9.36
DAP1_2022	10.89
DAP1_2024	9.67
DAP1_2027	11.8
DAP1_2029	10.69
DAP1_2035	9.65
DAP1_2037	12.5
DAP1_2038	9.92
DAP1_2039	11.06
DAP1_2043	10.73
DAP1_2044	12.15
DAP1_2048	10.72
DAP1_2049	12.46
DAP1_2050	8.37
DAP1_2051	8.93
DAP1_2054	10.14
DAP1_2057	11.17
DAP1_2059	9.18
DAP1_2062	13.1
DAP1_2065	11.91
DAP1_2081	11.49
DAP1_2087	11.19
DAP1_2091	10.21
DAP1_2094	10.36
DAP1_2095	13.54
DAP1_2097	12.94
DAP1_2099	10.19
DAP1_2100	12.51
DAP1_2110	10.54
DAP1_2114	8.11
DAP1_2117	8.43
DAP1_2122	11.97
DAP1_2127	10.07
DAP1_2129	9.8
DAP1_2136	9.86
DAP1_2137	11.97
DAP1_2139	11.79
DAP1_2143	12.88
DAP1_2144	8.68
DAP1_2149	9.59
DAP1_2152	12.39
DAP1_2153	8.51
DAP1_2155	12.64
DAP1_2157	9.21
DAP1_2158	10.32
DAP1_2160	11.15
DAP1_2161	10.85
DAP1_2162	12.71
DAP1_2163	8.43
DAP1_2164	8.66
DAP1_2166	13.32
DAP1_2167	10.25
DAP1_2168	8.46
DAP1_2170	12.54
DAP1_2173	13.06
DAP1_2174	11.92
DAP1_2179	9.17
DAP1_2180	10.12
DAP1_2182	10.39
DAP1_2184	9.64
DAP1_2185	13.43
DAP1_2187	11.22
DAP1_2190	11.26
