Reporter Identifier	VALUE
DAP1_0003	12.03
DAP1_0010	12.08
DAP1_0021	10.38
DAP1_0023	9.78
DAP1_0027	9.05
DAP1_0028	10.06
DAP1_0030	11.49
DAP1_0031	12.91
DAP1_0033	9.55
DAP1_0036	10.19
DAP1_0038	10.43
DAP1_0040	13.13
DAP1_0041	9.84
DAP1_0042	9.18
DAP1_0050	13.32
DAP1_0051	8.46
DAP1_0054	12.01
DAP1_0056	9.13
DAP1_0061	9.92
DAP1_0062	10.48
DAP1_0063	10.46
DAP1_0066	11.37
DAP1_0067	13.39
DAP1_0069	8.94
DAP1_0070	11.11
DAP1_0074	10.55
DAP1_0075	8.29
DAP1_0080	8.26
DAP1_0087	8.02
DAP1_0096	8.31
DAP1_0101	8.91
DAP1_0102	10.24
DAP1_0103	12.59
DAP1_0105	8.98
DAP1_0109	9.96
DAP1_0110	8.38
DAP1_0111	10.73
DAP1_0113	11.83
DAP1_0119	8.3
DAP1_0121	9.37
DAP1_0122	9.02
DAP1_0124	13.51
DAP1_0125	9.85
DAP1_0130	9.63
DAP1_0140	9.04
DAP1_0147	11.18
DAP1_0152	13.23
DAP1_0153	8.34
DAP1_0154	13.6
DAP1_0162	11.78
DAP1_0171	8.89
DAP1_0172	13.71
DAP1_0174	13.3
DAP1_0178	8.42
DAP1_0182	12.38
DAP1_0185	11.11
DAP1_0186	9.02
DAP1_0205	13.44
DAP1_0206	11.56
DAP1_0208	9.4
DAP1_0209	11.2
DAP1_0210	9.66
DAP1_0213	9.64
DAP1_0215	8.59
DAP1_0220	13.49
DAP1_0223	11.04
DAP1_0230	8.74
DAP1_0233	12.28
DAP1_0234	12.61
DAP1_0240	11.76
DAP1_0247	11.35
DAP1_0256	12.83
DAP1_0261	11.74
DAP1_0263	10.25
DAP1_0265	10.35
DAP1_0269	9.34
DAP1_0270	11.77
DAP1_0273	12.98
DAP1_0285	12.63
DAP1_0296	8.97
DAP1_0300	10.38
DAP1_0312	12.91
DAP1_0315	10.77
DAP1_0331	13.19
DAP1_0341	9.36
DAP1_0361	12.5
DAP1_0368	12.41
DAP1_0377	12.34
DAP1_0398	13.61
DAP1_0401	12.66
DAP1_0403	10.61
DAP1_0427	11.89
DAP1_0430	9.89
DAP1_0433	8.3
DAP1_0437	11.72
DAP1_0442	9.54
DAP1_0453	12.22
DAP1_0460	8.73
DAP1_0480	12.08
DAP1_0482	8.04
DAP1_0509	12.81
DAP1_0515	8.23
DAP1_0542	8.13
DAP1_0559	9.5
DAP1_0581	11.66
DAP1_0585	8.89
DAP1_0587	8.56
DAP1_0594	13.5
DAP1_0601	8.67
DAP1_0605	12.13
DAP1_0606	8.62
DAP1_0607	9.24
DAP1_0609	14.21
DAP1_0614	8.56
DAP1_0619	10.16
DAP1_0620	12.51
DAP1_0623	11.9
DAP1_0629	14.12
DAP1_0630	9.65
DAP1_0631	11.14
DAP1_0634	12.14
DAP1_0636	13.28
DAP1_0648	8.22
DAP1_0649	13.46
DAP1_0651	12.47
DAP1_0654	9.77
DAP1_0656	12.91
DAP1_0657	12.55
DAP1_0671	8.91
DAP1_0674	9.64
DAP1_0678	12.01
DAP1_0682	13.14
DAP1_0691	10.22
DAP1_0692	12.35
DAP1_0696	8.23
DAP1_0697	10.84
DAP1_0700	13.67
DAP1_0715	11.27
DAP1_0717	11.28
DAP1_0718	9.66
DAP1_0720	8.69
DAP1_0721	12.35
DAP1_0724	8.5
DAP1_0731	10.25
DAP1_0732	10.95
DAP1_0740	9.51
DAP1_0742	10.72
DAP1_0743	12.02
DAP1_0744	12.95
DAP1_0745	10.17
DAP1_0747	10.02
DAP1_0751	11.61
DAP1_0752	11.75
DAP1_0753	9.18
DAP1_0754	12.59
DAP1_0756	8.82
DAP1_0758	14.06
DAP1_0759	8.08
DAP1_0764	11.68
DAP1_0775	10.55
DAP1_0778	9.69
DAP1_0780	11.33
DAP1_0781	12.31
DAP1_0791	11.56
DAP1_0799	11.95
DAP1_0800	12.08
DAP1_0805	11.11
DAP1_0807	10.19
DAP1_0813	11.4
DAP1_0814	11.58
DAP1_0815	9.88
DAP1_0820	11.18
DAP1_0822	13.32
DAP1_0839	9.65
DAP1_0840	13.36
DAP1_0844	11.65
DAP1_0859	11.59
DAP1_0861	10.94
DAP1_0864	10.99
DAP1_0881	7.93
DAP1_0884	11.01
DAP1_0885	8.11
DAP1_0887	11.88
DAP1_0889	8.39
DAP1_0890	12.94
DAP1_0891	10.82
DAP1_0895	10.02
DAP1_0897	10.86
DAP1_0901	11.98
DAP1_0905	10.29
DAP1_0913	12.22
DAP1_0915	8.56
DAP1_0917	8.83
DAP1_0920	12.27
DAP1_0925	12.72
DAP1_0926	8.21
DAP1_0929	12.51
DAP1_0931	11.16
DAP1_0933	11.16
DAP1_0935	8.47
DAP1_0936	12.35
DAP1_0940	14.19
DAP1_0942	11.69
DAP1_0943	11.54
DAP1_0944	9.82
DAP1_0946	12.52
DAP1_0949	10.1
DAP1_0950	11.39
DAP1_0951	13.68
DAP1_0952	12.98
DAP1_0958	11.62
DAP1_0960	10.48
DAP1_0961	10.32
DAP1_0963	12.13
DAP1_0969	9.81
DAP1_0971	9.3
DAP1_0973	11.84
DAP1_0974	12.42
DAP1_0976	12.51
DAP1_0977	10.6
DAP1_0978	9.63
DAP1_0979	12.62
DAP1_0984	11.48
DAP1_0987	10.07
DAP1_0989	13.19
DAP1_0991	8.2
DAP1_0992	11.52
DAP1_1000	8.94
DAP1_1001	9.44
DAP1_1002	12.61
DAP1_1006	9.93
DAP1_1009	11.46
DAP1_1011	12.5
DAP1_1015	11.92
DAP1_1020	12.69
DAP1_1022	13.11
DAP1_1024	12.81
DAP1_1030	8.81
DAP1_1032	9.13
DAP1_1037	12.41
DAP1_1039	12.5
DAP1_1040	8.44
DAP1_1041	11.48
DAP1_1042	8.97
DAP1_1044	11.29
DAP1_1046	10.37
DAP1_1047	10.24
DAP1_1051	9.55
DAP1_1055	12.05
DAP1_1060	8.22
DAP1_1063	10.42
DAP1_1066	13.96
DAP1_1071	10.06
DAP1_1072	8.39
DAP1_1077	10.92
DAP1_1078	10.42
DAP1_1079	14.04
DAP1_1080	9.48
DAP1_1085	12.01
DAP1_1086	10.18
DAP1_1087	12.42
DAP1_1088	12.65
DAP1_1093	13.8
DAP1_1097	10.23
DAP1_1098	9.68
DAP1_1099	9.65
DAP1_1102	11.06
DAP1_1104	12.95
DAP1_1105	10.82
DAP1_1109	12.62
DAP1_1110	9.03
DAP1_1111	13.06
DAP1_1124	11.55
DAP1_1125	10.22
DAP1_1138	10.27
DAP1_1145	11.21
DAP1_1151	8.66
DAP1_1164	10.96
DAP1_1170	12.01
DAP1_1171	8.5
DAP1_1173	8.18
DAP1_1178	10.8
DAP1_1182	8.76
DAP1_1190	11.04
DAP1_1191	10.49
DAP1_1203	10.81
DAP1_1219	11.99
DAP1_1222	8.17
DAP1_1225	8.51
DAP1_1227	11.28
DAP1_1228	13.33
DAP1_1229	10.22
DAP1_1240	10.69
DAP1_1241	8.11
DAP1_1248	10.32
DAP1_1250	10.85
DAP1_1255	7.95
DAP1_1256	10.92
DAP1_1262	8.27
DAP1_1265	7.96
DAP1_1267	10.09
DAP1_1269	11.85
DAP1_1270	10.21
DAP1_1272	10.01
DAP1_1276	9.65
DAP1_1277	11.62
DAP1_1285	12.54
DAP1_1286	12.51
DAP1_1307	13.21
DAP1_1309	12.55
DAP1_1311	9.62
DAP1_1312	9.79
DAP1_1317	10.97
DAP1_1319	13.04
DAP1_1320	13.62
DAP1_1321	8.55
DAP1_1324	12.52
DAP1_1326	8.49
DAP1_1330	8.93
DAP1_1331	9.13
DAP1_1333	12.42
DAP1_1334	10.59
DAP1_1335	13.19
DAP1_1337	12.28
DAP1_1338	10
DAP1_1339	11.59
DAP1_1340	12.65
DAP1_1341	10
DAP1_1343	9.44
DAP1_1344	8.52
DAP1_1360	12.07
DAP1_1370	11.16
DAP1_1375	13.37
DAP1_1377	9.62
DAP1_1382	12.27
DAP1_1384	12.14
DAP1_1389	11.36
DAP1_1390	8.61
DAP1_1392	12.1
DAP1_1407	12.24
DAP1_1432	11
DAP1_1439	12.79
DAP1_1462	9.34
DAP1_1482	12.91
DAP1_1493	13.32
DAP1_1543	11.5
DAP1_1549	11.26
DAP1_1550	11.7
DAP1_1553	8
DAP1_1558	8.07
