4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50
sam	0.9	0.96	0.968	0.98	0.976	0.968	0.964	0.972	0.968	0.98	0.976	0.956	0.972	0.972	0.972	0.96	0.96	0.96	0.952	0.964	0.96	0.964	0.964	0.956
geode	0.99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ref	0.969444444444444	1	1	1	1	1	1	1	1	1	1	1	1	0.997222222222222	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444	0.994444444444444
chs	0.97	0.965	0.96	0.96	0.96	0.97	0.97	0.97	0.975	0.97	0.97	0.96	0.96	0.96	0.96	0.965	0.955	0.955	0.96	0.955	0.96	0.955	0.95	0.96
form_sam-geode	0.85	0.872222222222222	0.897222222222222	0.891666666666667	0.883333333333333	0.894444444444444	0.894444444444444	0.894444444444444	0.911111111111111	0.908333333333333	0.927777777777778	0.933333333333333	0.941666666666667	0.930555555555555	0.941666666666667	0.933333333333333	0.95	0.936111111111111	0.936111111111111	0.938888888888889	0.944444444444444	0.944444444444444	0.936111111111111	0.958333333333333
form_ref-chs	0.716666666666667	0.704166666666667	0.745833333333333	0.783333333333333	0.754166666666667	0.75	0.770833333333333	0.7375	0.741666666666667	0.729166666666667	0.729166666666667	0.733333333333333	0.741666666666667	0.745833333333333	0.745833333333333	0.7375	0.75	0.7375	0.758333333333333	0.7375	0.7375	0.770833333333333	0.754166666666667	0.745833333333333
form_sam-geode-ref-chs	0.94	1	0.98	1	1	0.995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
consensus_sam-geode	0.988	0.988	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
consensus_ref_chs	0.98	0.995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
consensus_sam-geode-ref-chs	0.944444444444444	0.936111111111111	0.930555555555555	0.922222222222222	0.961111111111111	0.955555555555555	0.958333333333333	0.947222222222222	0.952777777777778	0.952777777777778	0.947222222222222	0.955555555555555	0.941666666666667	0.941666666666667	0.938888888888889	0.936111111111111	0.936111111111111	0.941666666666666	0.927777777777778	0.922222222222222	0.930555555555555	0.941666666666667	0.930555555555555	0.922222222222222
